FIPS,County,State,FIPS_Year,Year,Total Population,Total Violent And Property Crimes Rate,Violent Crimes Rate,Violent Crimes Rate D,Property Crimes Rate,Property Crimes Rate D,Total Violent Crimes Rate: Rape Legacy Definition,Total Violent Crimes Rate: Murders And Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Total Violent Crimes Rate: Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons Rate,Rape Legacy Definition Rate
1007,Bibb County,Alabama,01007_2016,2016,22643,163.4059091,0,1,163.4059091,1,0.374041956,0,0,0,0,0,88.32751844,61.82926291,13.24912777,0,18.06392389
1017,Chambers County,Alabama,01017_2018,2018,33615,208.2403689,0,1,208.2403689,1,4.585007803,0,0,0,0,0,86.27100997,116.0196341,5.949724825,0,18.6914371
2060,Bristol Bay Borough,Alaska,02060_2015,2015,905,662.9834254,0,1,662.9834254,3,0,0,0,0,0,0,110.4972376,331.4917127,220.9944751,0,10.06905633
2060,Bristol Bay Borough,Alaska,02060_2016,2016,903,2325.581395,0,1,2325.581395,5,34.44795101,0,0,0,0,0,442.9678848,1218.161683,664.4518272,101.1704284,5.679471293
1001,Autauga County,Alabama,01001_2017,2017,55049,797.4713,99.91099,3,697.5604,4,0,3.633126851,9.082817127,4.432647068,9.082817127,78.11222729,237.9698087,374.2120656,85.37848099,0,15.88206187
2060,Bristol Bay Borough,Alaska,02060_2018,2018,877,1026.22577,0,1,1026.22577,4,55.63924299,0,0,0,0,0,228.050171,228.050171,570.1254276,0,5.679471293
2230,Skagway Municipality,Alaska,02230_2014,2014,1053,1709.401709,0,1,1709.401709,5,21.92105138,0,0,0,0,0,189.9335233,1519.468186,0,11.79678152,20.19091405
2230,Skagway Municipality,Alaska,02230_2015,2015,1087,1839.926403,0,1,1839.926403,5,26.64052541,0,0,0,0,0,275.9889604,1563.937443,0,17.29751622,21.58172232
1003,Baldwin County,Alabama,01003_2017,2017,199510,451.1052,81.70016,3,369.405,2,3.991733032,0.501228009,4.511052078,0,9.022104155,67.66578116,113.2775299,221.5427798,34.58473259,0,17.37823517
2230,Skagway Municipality,Alaska,02230_2018,2018,1148,783.9721254,0,1,783.9721254,4,7.644292155,0,0,0,0,0,87.10801394,696.8641115,0,0,18.40737144
2275,Wrangell City and Borough,Alaska,02275_2016,2016,2501,839.6641343,0,1,839.6641343,4,0,0,0,0,0,0,39.9840064,679.7281088,119.9520192,0,12.81565805
5147,Woodruff County,Arkansas,05147_2016,2016,6641,677.6087939,0,1,677.6087939,4,0,0,0,0,0,0,135.5217588,421.6232495,120.4637856,0,13.81605752
8003,Alamosa County,Colorado,08003_2014,2014,16177,241.0830191,0,1,241.0830191,1,20.51952531,0,0,0,0,0,18.54484762,222.5381715,0,6.181615874,20.52778996
8015,Chaffee County,Colorado,08015_2016,2016,19058,367.2998216,0,1,367.2998216,2,0,0,0,0,0,0,62.9656837,272.851296,31.48284185,0,16.85700377
8017,Cheyenne County,Colorado,08017_2018,2018,1876,53.30490405,0,1,53.30490405,1,2.869844253,0,0,0,0,0,0,53.30490405,0,0,18.30231047
8039,Elbert County,Colorado,08039_2014,2014,24195,8.266170696,0,1,8.266170696,1,3.716040994,0,0,0,0,0,0,8.266170696,0,0,18.43274039
8053,Hinsdale County,Colorado,08053_2014,2014,786,508.9058524,0,1,508.9058524,3,5.902932748,0,0,0,0,0,127.2264631,381.6793893,0,0,18.96514421
