FIPS,% Pop Density D,County,State,Total Population,Population Density (Per Sq. Mile),% Pop Density D,% Children Under 10,% Children Under 10 D,% Children 10 and Older,% Children 10 and Older D,% Male,% Male: Under 5 Years,% Male: 5 to 9 Years,% Male: 10 to 14 Years,% Male: 15 to 17 Years,% Male: 18 to 24 Years,% Male: 25 to 34 Years,% Male: 35 to 44 Years,% Male: 45 to 54 Years,% Male: 55 to 64 Years,% Male: 65 to 74 Years,% Male: 75 to 84 Years,% Male: 85 Years and Over,% Female,% Female: Under 5 Years,% Female: 5 to 9 Years,% Female: 10 to 14 Years,% Female: 15 to 17 Years,% Female: 18 to 24 Years,% Female: 25 to 34 Years,% Female: 35 to 44 Years,% Female: 45 to 54 Years,% Female: 55 to 64 Years,% Female: 65 to 74 Years,% Female: 75 to 84 Years,% Female: 85 Years and Over,% White,% Black,% Native American,% Asian,% Hawaiian or Pacific Islander,% Other Race,% Two or More Races,% Hispanic,% Couples that are Same-Sex,% Couples that are Same-Sex D,% Population Over 25 with at Least a Bachelor Degree,% Population Over 25 with at Least a Bachelor Degree D,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,% Employed at least 16 Years Old,"% Employed 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining",% Employed 16 Years and Over: Construction,% Employed 16 Years and Over: Manufacturing,% Employed 16 Years and Over: Wholesale Trade,% Employed 16 Years and Over: Retail Trade,"% Employed 16 Years and Over: Transportation and Warehousing, and Utilities",% Employed 16 Years and Over: Information,"% Employed 16 Years and Over: Finance and Insurance, and Real Estate and Rental and Leasing","% Employed 16 Years and Over: Professional, Scientific, and Management, and Administrative and Waste Management Services","% Employed 16 Years and Over: Educational Services, and Health Care and Social  Assistance","% Employed 16 Years and Over: Arts, Entertainment, and Recreation, and Accommodation and Food Services","% Employed 16 Years and Over: Other Services, Except Public Administration",% Employed 16 Years and Over: Public Administration,"% Households Income: Less than $10,000","% Households Income: $10,000 to $14,999","% Households Income: $15,000 to $19,999","% Households Income: $20,000 to $24,999","% Households Income: $25,000 to $29,999","% Households Income: $30,000 to $34,999","% Households Income: $35,000 to $39,999","% Households Income: $40,000 to $44,999","% Households Income: $45,000 to $49,999","% Households Income: $50,000 to $59,999","% Households Income: $60,000 to $74,999","% Households Income: $75,000 to $99,999","% Households Income: $100,000 to $124,999","% Households Income: $125,000 to $149,999","% Households Income: $150,000 to $199,999","% Households Income: $200,000 or More",Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income D,% Households with Public Assistance Income,% Households with Retirement Income,Gini Index,House Median Value,Median Gross Rent,Median Gross Rent D,% Families with Income Below Poverty Level,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,% Workers 16 Years and Over: Worked At Home,Average Commute to Work (In Min),% Civilian Population 18 Years and Over that is a Veteran,% Foreign Born (Naturalized or Otherwise),% Foreign-Born Population: Europe,% Foreign-Born Population: Asia,% Foreign-Born Population: Africa,% Foreign-Born Population: Oceania,% Foreign-Born Population: Latin America,% Foreign-Born Population: Northern America,% Without Health Insurance
6081,5,San Mateo County,California,765623,1706.62,4,11,3,9.2,2,49.5,2.9,3,2.8,1.8,3.8,7.8,7.2,6.8,6.3,4.2,2,0.9,50.5,2.7,2.7,2.9,1.7,3.5,7.1,7.1,7,6.7,4.9,2.7,1.5,48.3,2.4,0.5,29.4,1.3,10.6,7.5,24.1,1.9,1,52,4,10,155,158,126,49,29,95,96,0.5,5.5,7.4,2,8.9,5.7,4.6,7.8,20,20.4,9.1,4.8,3.2,2.6,2.1,1.8,2.1,1.9,2.1,2,2.2,1.7,4.3,6.1,10.4,9.5,7.8,13.1,30.1,128091,5,1.7,19.8,0.4855,1163100,2435,5,3.7,74.8,10.4,1.3,2.4,9.5,29,4,35,0,0,0,0,0,0,4
6085,5,Santa Clara County,California,1924379,1490.51,4,12,3,10,2,50.7,3,3.1,3.2,1.9,4.4,8.7,7.4,6.9,5.9,3.5,1.8,0.7,49.3,2.9,2.9,3.1,1.8,4,7.5,7,6.8,5.9,4,2.2,1.2,41.6,2.5,0.5,37.7,0.4,9.9,7.5,25.1,1.2,1,53,4,11,124,152,131,66,15,152,96,0.5,5,16.2,1.9,8.3,2.9,5.2,4.6,22,19.2,8,3.9,2.4,2.8,2.3,2.1,2,1.9,2.1,1.9,2.1,2,3.9,6.2,9.4,9.2,8.3,13.5,30.3,130890,5,1.9,15.7,0.4652,1061900,2386,5,4.3,81.2,4.3,1.5,2.1,9.7,29,3,39.7,0,0,0,0,0,0,4
6041,5,Marin County,California,259441,498.52,3,10,2,10.3,3,48.8,2.3,2.6,3.3,1.9,3.4,4.6,5.9,7.7,7.2,5.9,3,0.9,51.2,2.4,2.6,3.2,1.9,3.2,4.1,5.8,7.9,7.9,6.9,3.6,1.9,76.7,2.3,0.3,5.8,0.1,8,6.7,16.1,2.3,2,60,4,6,161,226,148,47,40,50,95,0.8,6.2,4.6,2.2,9.7,3,3.9,9.7,20.4,21,9.1,6.1,3.3,3.1,2.3,2.2,2.4,2.3,2.2,2.1,2.8,1.9,4.7,6.7,9.5,8.8,7.6,11.5,29.8,121671,5,1.2,22.7,0.509,1053600,2170,5,3.9,70.1,7.9,1.2,3.2,16.8,32,5,18.3,0,0,0,0,0,0,3
51610,5,Falls Church city,Virginia,14309,6992.13,5,12,3,12.5,3,48.2,3,3.8,3.7,2.6,2.9,6.7,7.2,7.1,5.8,3.6,1.2,0.7,51.8,2.4,2.9,4.5,1.7,4.2,6.2,7,7.6,7.8,4.2,1.9,1.5,78,4.8,0.1,9.9,0,3.1,4.1,10.6,0.9,1,79,5,3,206,171,282,103,32,43,96,0,1.9,2.8,0.4,4.9,1.7,1.7,6.3,29.6,20.2,10.2,4.4,15.8,0.8,0.2,1.6,1.9,2,1.3,0.7,1.1,1.7,4,5.6,13.5,11.1,5.5,16.6,32.5,146922,5,0.6,25.2,0.4185,810900,2044,5,0.8,66,14.6,1.2,3.5,14.2,28,8,17,0,0,0,0,0,0,3
6075,5,San Francisco County,California,874784,18646.48,5,8,2,5.5,2,51,2.3,1.8,1.8,1,3.4,12.2,8.4,7.1,6,4.2,2,0.9,49,2.2,1.7,1.7,1,3.6,11.2,7.4,6,5.5,4.5,2.4,1.7,44.9,5.1,0.4,34.3,0.4,7.7,7.2,15.2,6.6,4,59,4,11,101,157,192,45,32,55,95,0.2,3.2,5,1.8,8.7,4.5,6.2,8.5,25.7,18.3,10.4,4.3,3.2,4.6,4.8,2.8,2.5,2.5,2.1,1.9,2,1.9,3.9,5.9,8.7,8,7.2,12,29,119136,4,2.2,14.2,0.5079,1152300,2010,5,5.5,37.2,32.9,3.7,11.7,11.8,33,3,34.2,0,0,0,0,0,0,4
51013,5,Arlington County,Virginia,236434,9094.52,5,11,3,7.3,2,50.1,3,2.5,2.4,1.3,4.1,12.1,8.3,6.5,5,3.1,1.2,0.6,49.9,2.9,2.3,2.4,1.2,4.1,12,8.2,6.1,4.9,3.5,1.6,0.8,69,9.2,0.4,10.3,0.1,5.1,5.8,15.4,3,2,76,5,5,156,142,315,78,30,56,97,0.3,3.5,2.2,0.7,4.4,2.5,3.2,6.6,30.2,14.1,7.3,8,16.9,3.8,1.4,1.6,1.9,1.6,1.7,1.6,2,2,4.2,7.2,12,9.9,10,14.8,24.3,122604,5,0.9,15.2,0.4426,731700,2005,5,4,53.4,25.8,1.6,4.9,13.5,29,7,22.6,0,0,0,0,0,0,6
6059,5,Orange County,California,3170345,3998.71,5,12,3,10.4,3,49.4,3,2.9,3.3,2,4.6,7.4,6.4,6.9,6.2,3.9,1.9,0.8,50.6,2.9,2.8,3.2,1.9,4.5,7,6.5,7.1,6.5,4.5,2.4,1.3,57.6,1.7,0.5,21.1,0.3,12,6.8,33.8,1.3,1,41,3,14,123,160,96,39,29,57,95,0.6,5.9,11.9,3.5,10.4,3.9,1.9,8.7,14.6,19.7,10.6,5.3,3,4.1,2.7,2.3,2.8,2.8,3,2.7,3,2.6,5.8,8.3,12.5,10.8,8.6,11.3,16.7,94441,4,2.1,18,0.466,703800,1928,4,6.9,85.7,1.9,0.6,1.8,9,28,4,29.6,0,0,0,0,0,0,7
6013,5,Contra Costa County,California,1147788,1600.98,4,12,3,10.8,3,48.9,2.9,3.2,3.4,2.1,4.1,6.4,6.6,6.9,6.4,4.2,2,0.8,51.1,2.8,3,3.3,2,4,6.3,6.9,7.2,6.8,5,2.6,1.3,53,8.6,0.5,17.4,0.5,10.9,9.1,25.8,1.7,1,43,3,10,171,170,91,42,27,68,95,0.6,7.2,6.6,2.3,10,5.4,2.5,8,16.8,22.8,8.7,5,4.1,3.4,2.8,2,2.4,2.3,2.8,2.5,2.4,2.4,5.3,7.5,12.3,10.3,8.5,12.5,20.5,103997,4,2.3,22.8,0.4658,655500,1928,4,5.8,76.4,10.4,0.5,1.6,9.9,39,5,24.8,0,0,0,0,0,0,5
51107,5,Loudoun County,Virginia,405312,785.89,3,15,3,13.3,3,49.7,3.6,4,4.4,2.4,3.8,5.7,8.4,8,5.2,2.6,1.1,0.4,50.3,3.5,3.9,4.1,2.4,3.7,6.1,8.7,7.7,5.2,3,1.6,0.6,62.4,7.7,0.3,19.2,0.1,3.8,6.5,13.6,1.2,1,62,4,6,204,161,177,61,13,70,96,0.6,4.8,4.2,1.2,7.8,3.6,3.6,7.6,29.1,17.1,7.6,4.7,7.9,1.8,0.9,0.8,1.2,1.3,1.6,1.4,1.9,1.5,3.8,5.6,9.5,9.8,9.9,17.3,31.8,147111,5,1,17.9,0.3922,534600,1913,4,2.2,80.8,3.4,0.2,1.5,13.4,34,8,25.2,0,0,0,0,0,0,6
6001,5,Alameda County,California,1661584,2253.11,4,11,3,9.1,2,49.2,3,2.9,2.9,1.7,4.1,8.4,7.5,6.6,5.9,3.8,1.7,0.6,50.8,2.8,2.7,2.9,1.6,4.1,8.3,7.6,6.7,6.3,4.4,2.2,1.2,38,10.3,0.7,31.3,0.8,11.1,7.9,22.2,2.6,2,49,4,11,152,136,121,52,21,99,95,0.3,5.3,9.9,2.4,8.9,5.2,3.6,6.1,20.2,21.6,8.4,4.7,3.5,4.1,3.3,2.4,2.7,2.5,2.7,2.2,2.6,2.3,5,7,11.2,9.8,8.1,12.6,21.7,104888,4,3.5,17.6,0.4621,825300,1904,4,5.8,68.1,14.5,1.7,3.3,11,34,4,32.8,0,0,0,0,0,0,4
