FIPS,County,State,Year,Democrat,Libertarian,Green,Republican,Other
1001,Autauga County,Alabama,2016,23.77,,,72.77,3.46
1001,Autauga County,Alabama,2004,23.69,,,75.67,0.63
1001,Autauga County,Alabama,2012,26.59,,,72.62,0.79
1001,Autauga County,Alabama,2008,25.77,,,73.61,0.61
1001,Autauga County,Alabama,2020,27.02,,,71.44,1.54
1001,Autauga County,Alabama,2000,28.72,,0.93,69.69,0.66
1003,Baldwin County,Alabama,2008,23.81,,,75.26,0.93
1003,Baldwin County,Alabama,2004,22.5,,,76.42,1.08
1003,Baldwin County,Alabama,2012,21.59,,,77.36,1.05
1003,Baldwin County,Alabama,2016,19.39,,,76.55,4.07
1003,Baldwin County,Alabama,2020,22.41,,,76.17,1.42
1003,Baldwin County,Alabama,2000,24.78,,1.83,72.37,1.02
1005,Barbour County,Alabama,2016,46.53,,,52.1,1.38
1005,Barbour County,Alabama,2008,48.99,,,50.44,0.58
1005,Barbour County,Alabama,2004,44.84,,,54.74,0.43
1005,Barbour County,Alabama,2012,51.37,,,48.22,0.41
1005,Barbour County,Alabama,2020,45.79,,,53.45,0.76
1005,Barbour County,Alabama,2000,49.91,,0.44,49.02,0.63
1007,Bibb County,Alabama,2008,26.6,,,72.44,0.96
1007,Bibb County,Alabama,2004,27.49,,,72,0.51
1007,Bibb County,Alabama,2012,26.15,,,72.83,1.02
1007,Bibb County,Alabama,2016,21.25,,,76.4,2.35
1007,Bibb County,Alabama,2020,20.7,,,78.43,0.88
1007,Bibb County,Alabama,2000,38.16,,0.73,60.17,0.93
1009,Blount County,Alabama,2008,14.51,,,84.02,1.47
1009,Blount County,Alabama,2004,18.31,,,80.85,0.84
1009,Blount County,Alabama,2012,12.37,,,86.47,1.16
1009,Blount County,Alabama,2016,8.43,,,89.33,2.24
1009,Blount County,Alabama,2020,9.57,,,89.57,0.86
1009,Blount County,Alabama,2000,27.69,,0.86,70.48,0.97
1011,Bullock County,Alabama,2008,74.07,,,25.69,0.24
1011,Bullock County,Alabama,2004,68.05,,,31.67,0.28
1011,Bullock County,Alabama,2012,76.31,,,23.51,0.19
1011,Bullock County,Alabama,2016,74.95,,,24.2,0.85
1011,Bullock County,Alabama,2020,74.7,,,24.84,0.46
1011,Bullock County,Alabama,2000,69.23,,0.49,29.22,1.06
1013,Butler County,Alabama,2008,43.14,,,56.49,0.37
1013,Butler County,Alabama,2004,40.55,,,59.16,0.29
1013,Butler County,Alabama,2012,46.06,,,53.57,0.37
1013,Butler County,Alabama,2016,42.67,,,56.13,1.2
1013,Butler County,Alabama,2020,41.79,,,57.53,0.69
1013,Butler County,Alabama,2000,46.21,,0.46,52.89,0.44
1015,Calhoun County,Alabama,2008,33.17,,,65.69,1.14
1015,Calhoun County,Alabama,2004,33.33,,,65.89,0.78
1015,Calhoun County,Alabama,2012,33.53,,,65.46,1.01
1015,Calhoun County,Alabama,2016,27.67,,,68.66,3.67
1015,Calhoun County,Alabama,2020,29.85,,,68.85,1.31
1015,Calhoun County,Alabama,2000,40.56,,1.24,57.33,0.88
1017,Chambers County,Alabama,2008,45.46,,,53.94,0.6
1017,Chambers County,Alabama,2004,41.03,,,58.49,0.48
1017,Chambers County,Alabama,2012,47.03,,,52.19,0.78
1017,Chambers County,Alabama,2016,41.61,,,56.42,1.96
1017,Chambers County,Alabama,2020,41.64,,,57.27,1.09
1017,Chambers County,Alabama,2000,47.46,,0.8,51.01,0.73
1019,Cherokee County,Alabama,2008,23.66,,,74.89,1.45
1019,Cherokee County,Alabama,2004,33.59,,,65.45,0.95
1019,Cherokee County,Alabama,2012,21.8,,,76.76,1.44
1019,Cherokee County,Alabama,2016,14.41,,,83.42,2.17
1019,Cherokee County,Alabama,2020,13.2,,,86.03,0.76
1019,Cherokee County,Alabama,2000,44.7,,0.98,53.1,1.21
1021,Chilton County,Alabama,2008,20.66,,,78.49,0.85
1021,Chilton County,Alabama,2004,22.63,,,76.85,0.52
1021,Chilton County,Alabama,2012,19.45,,,79.78,0.76
1021,Chilton County,Alabama,2016,15.85,,,82.1,2.05
1021,Chilton County,Alabama,2020,15.91,,,83.3,0.79
1021,Chilton County,Alabama,2000,31.84,,0.61,66.7,0.85
1023,Choctaw County,Alabama,2004,45.7,,,53.92,0.37
1023,Choctaw County,Alabama,2012,47.52,,,52.11,0.38
1023,Choctaw County,Alabama,2016,42.64,,,56.31,1.06
1023,Choctaw County,Alabama,2008,46.06,,,53.5,0.44
1023,Choctaw County,Alabama,2020,41.89,,,57.56,0.55
1023,Choctaw County,Alabama,2000,50.27,,0.45,48.82,0.46
1025,Clarke County,Alabama,2008,44.02,,,55.57,0.41
1025,Clarke County,Alabama,2004,40.61,,,59.07,0.32
1025,Clarke County,Alabama,2012,45.73,,,53.93,0.34
1025,Clarke County,Alabama,2016,44.12,,,54.79,1.09
1025,Clarke County,Alabama,2020,43.81,,,55.76,0.43
1025,Clarke County,Alabama,2000,43.52,,0.31,55.69,0.48
1027,Clay County,Alabama,2008,25.81,,,73.09,1.1
1027,Clay County,Alabama,2004,28.79,,,70.32,0.9
1027,Clay County,Alabama,2012,26.67,,,72.31,1.02
1027,Clay County,Alabama,2016,18.67,,,79.18,2.14
1027,Clay County,Alabama,2020,18.28,,,80.82,0.89
1027,Clay County,Alabama,2000,34.76,,0.88,63.22,1.14
1029,Cleburne County,Alabama,2008,17.99,,,80.35,1.66
1029,Cleburne County,Alabama,2004,23.99,,,75.37,0.64
1029,Cleburne County,Alabama,2012,15.4,,,83.62,0.98
1029,Cleburne County,Alabama,2016,10.37,,,87.43,2.2
1029,Cleburne County,Alabama,2020,9.34,,,89.72,0.94
1029,Cleburne County,Alabama,2000,32.68,,0.77,65.46,1.1
1031,Coffee County,Alabama,2016,20.33,,,76.44,3.23
1031,Coffee County,Alabama,2008,25.23,,,74.12,0.65
1031,Coffee County,Alabama,2004,25.43,,,73.9,0.66
1031,Coffee County,Alabama,2012,24.91,,,74.18,0.91
1031,Coffee County,Alabama,2020,22.79,,,75.87,1.35
1031,Coffee County,Alabama,2000,33.82,,1,64.39,0.78
1033,Colbert County,Alabama,2008,39.06,,,59.33,1.61
1033,Colbert County,Alabama,2004,44.28,,,55.1,0.62
1033,Colbert County,Alabama,2012,39.2,,,59.59,1.21
1033,Colbert County,Alabama,2016,29.35,,,67.21,3.44
1033,Colbert County,Alabama,2020,29.92,,,68.86,1.22
1033,Colbert County,Alabama,2000,48.96,,0.97,48.85,1.22
1035,Conecuh County,Alabama,2008,49.39,,,49.98,0.63
1035,Conecuh County,Alabama,2004,45.16,,,54.33,0.51
1035,Conecuh County,Alabama,2012,50.63,,,48.97,0.4
1035,Conecuh County,Alabama,2016,46.77,,,51.94,1.29
