FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
401230,Blue Elementary District,Greenlee County,Arizona,1230,,,,,,,,,,11,100,0,0,0,0,0,0,11,0,0,0,0
402460,Crown King Elementary District,Yavapai County,Arizona,2460,,,,,,,,,,4,100,0,0,0,0,0,0,,0,0,0,0
609240,Coffee Creek Elementary School District,Trinity County,California,9240,,,,,,,,,,5,100,0,0,0,0,0,0,5,0,0,0,0
618270,Indian Springs Elementary School District,Shasta County,California,18270,,,,,,,,,,7,100,0,0,0,0,0,0,3.5,0,0,0,0
621660,Lincoln Elementary School District,Marin County,California,21660,,,,,,,,,,7,100,0,0,0,0,0,0,,0,0,0,0
1600150,Avery School District 394,Shoshone County,Idaho,150,,,,,,,,,,16,100,0,0,0,0,0,0,16,0,0,0,0
1602610,Pleasant Valley Elementary School District 364,Owyhee County,Idaho,2610,,,,,,,,,,10,100,0,0,0,0,0,0,5,0,0,0,0
1602730,Prairie Elementary School District 191,Elmore County,Idaho,2730,,,,,,,,,,3,100,0,0,0,0,0,0,3.4,0,0,0,0
2307590,Frenchboro,Hancock County,Maine,7590,,,,,,,,,,3,100,0,0,0,0,0,0,3,0,0,0,0
2306780,Isle au Haut,Knox County,Maine,6780,,,,,,,,,,5,100,0,0,0,0,0,0,3.8,0,0,0,0
2308340,Monhegan Plantation,Lincoln County,Maine,8340,,,,,,,,,,6,100,0,0,0,0,0,0,5.4,0,0,0,0
2314410,School Administrative District 65,Knox County,Maine,14410,,,,,,,,,,3,100,0,0,0,0,0,0,,0,0,0,0
2313500,Wesley,Washington County,Maine,13500,,,,,,,,,,6,100,0,0,0,0,0,0,5.4,0,0,0,0
2505340,Gosnold School District,Dukes County,Massachusetts,5340,,,,,,,,,,2,100,0,0,0,0,0,0,1.8,0,0,0,0
2606300,Bois Blanc Pines School District,Mackinac County,Michigan,6300,,,,,,,,,,4,100,0,0,0,0,0,0,4,0,0,0,0
2616560,Grant Township School District 2,Keweenaw County,Michigan,16560,,,,,,,,,,4,100,0,0,0,0,0,0,4,0,0,0,0
3001950,Alzada Elementary School District,Carter County,Montana,1950,,,,,,,,,,3,100,0,0,0,0,0,0,3,0,0,0,0
3002550,Avon Elementary School District,Powell County,Montana,2550,,,,,,,,,,16,100,0,0,0,0,0,0,5.3,0,0,0,0
3002570,Ayers Elementary School District,Fergus County,Montana,2570,,,,,,,,,,5,100,0,0,0,0,0,0,5,0,0,0,0
3003480,Benton Lake Elementary School District,Chouteau County,Montana,3480,,,,,,,,,,9,100,0,0,0,0,0,0,9,0,0,0,0
3003600,Biddle Elementary School District,Powder River County,Montana,3600,,,,,,,,,,4,100,0,0,0,0,0,0,4,0,0,0,0
3004200,Bloomfield Elementary School District,Dawson County,Montana,4200,,,,,,,,,,4,100,0,0,0,0,0,0,4,0,0,0,0
3007030,Cohagen Elementary School District,Garfield County,Montana,7030,,,,,,,,,,13,100,0,0,0,0,0,0,13,0,0,0,0
3008470,Deer Creek Elementary School District,Dawson County,Montana,8470,,,,,,,,,,16,100,0,0,0,0,0,0,8,0,0,0,0
