"Qualifying Name","Name of Area","FIPS","State","County","Total Population (2013 est.)","Total Violent and Property Crimes ","Total Violent and Property Crimes: Violent Crimes ","Total Violent and Property Crimes: Property Crimes","% Total Violent and Property Crimes: Violent Crimes ","% Total Violent and Property Crimes: Property Crimes","Total Violent and Property Crimes Rate","Total Violent and Property Crimes Rate: Violent Crimes Rate","Total Violent and Property Crimes Rate: Property Crimes Rate","Total Violent Crimes ","Total Violent Crimes: Murders and Nonnegligent Manslaughters","Total Violent Crimes: Rape Revised Definition ","Total Violent Crimes Rate: Rape Legacy Definition ","Total Violent Crimes: Robberies","Total Violent Crimes: Aggravated Assaults","Total Violent Crimes Rate","Total Violent Crimes Rate: Murders and Nonnegligent Manslaughters Rate","Total Violent Crimes Rate: Rape Revised Definition Rate","Total Violent Crimes Rate: Rape Legacy Definition Rate","Total Violent Crimes Rate: Robberies Rate","Total Violent Crimes Rate: Aggravated Assaults Rate","Total Property Crimes","Total Property Crimes: Burglaries","Total Property Crimes: Larcenies","Total Property Crimes: Motor Vehicle Thefts","Total Property Crimes Rate","Total Property Crimes Rate: Burglaries Rate","Total Property Crimes Rate: Larcenies Rate","Total Property Crimes Rate: Motor Vehicle Thefts Rate","Arsons","Arsons Rate","Total Number of Hate Crime Reported:","Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:","Total Number of Hate Crimes with an Anti-Religion Bias Reported:","Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:","Total Number of Hate Crimes with an Anti-Disability Bias Reported:","Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:","% Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:","% Total Number of Hate Crimes with an Anti-Religion Bias Reported:","% Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:","% Total Number of Hate Crimes with an Anti-Disability Bias Reported:","% Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:","Total Number of Hate Crime Reported (Rate per 100,000 Population):","Anti-Race, Anti-Ethnicity, Anti-Ancestry Rate:","Anti-Religion Rate:","Anti-Sexual Orientation Rate:","Anti-Disability Rate:","Anti-Gender and Anti-Gender Rate:"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,PCT_SE_T002_002,PCT_SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,PCT_SE_T010_002,PCT_SE_T010_003,PCT_SE_T010_004,PCT_SE_T010_005,PCT_SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"Autauga County, Alabama","Autauga County","01001","01","001",55136,516,72,444,13.95,86.05,935.867672663958,130.586186883343,805.281485780615,72,0,15,,3,54,130.586186883343,0,27.2054556006965,,5.44109112013929,97.9396401625073,444,160,238,46,805.281485780615,290.191526407429,431.65989553105,83.4300638421358,,,,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","Baldwin County","01003","01","003",195443,785,111,674,14.14,85.86,401.651632445265,56.794052485891,344.857579959374,111,0,13,,27,71,56.794052485891,0,6.6515556965458,,13.8147695235951,36.3277272657501,674,250,380,44,344.857579959374,127.914532625881,194.430089591339,22.512957742155,,,,,,,,,,,,,,,,,,,
"Barbour County, Alabama","Barbour County","01005","01","005",26978,136,21,115,15.44,84.56,504.114463637038,77.8412039439543,426.273259693083,21,1,2,,2,16,77.8412039439543,3.70672399733116,7.41344799466232,,7.41344799466232,59.3075839572985,115,43,63,9,426.273259693083,159.38913188524,233.523611831863,33.3605159759804,,,,,,,,,,,,,,,,,,,
"Bibb County, Alabama","Bibb County","01007","01","007",22504,131,8,123,6.11,93.89,582.118734447209,35.5492356914326,546.569498755777,8,0,0,,0,8,35.5492356914326,0,0,,0,35.5492356914326,123,65,40,18,546.569498755777,288.83753999289,177.746178457163,79.9857803057234,,,,,,,,,,,,,,,,,,,
"Blount County, Alabama","Blount County","01009","01","009",57720,1038,91,947,8.77,91.23,1798.3367983368,157.657657657658,1640.67914067914,91,0,9,,0,82,157.657657657658,0,15.5925155925156,,0,142.065142065142,947,302,562,83,1640.67914067914,523.215523215523,973.665973665974,143.797643797644,,,,,,,,,,,,,,,,,,,
"Butler County, Alabama","Butler County","01013","01","013",20289,176,35,141,19.89,80.11,867.465128887574,172.507269949234,694.957858938341,35,1,6,,0,28,172.507269949234,4.92877914140667,29.57267484844,,0,138.005815959387,141,49,85,7,694.957858938341,241.510177928927,418.946227019567,34.5014539898467,,,,,,,,,,,,,,,,,,,
"Calhoun County, Alabama","Calhoun County","01015","01","015",116547,481,28,453,5.82,94.18,412.709035839618,24.0246424189383,388.68439342068,28,0,7,,5,16,24.0246424189383,0,6.00616060473457,,4.29011471766755,13.7283670965362,453,183,259,11,388.68439342068,157.018198666632,222.227942375179,9.43825237886861,,,,,,,,,,,,,,,,,,,
"Chambers County, Alabama","Chambers County","01017","01","017",34175,124,4,120,3.23,96.77,362.838332114118,11.7044623262619,351.133869787857,4,0,0,,0,4,11.7044623262619,0,0,,0,11.7044623262619,120,69,45,6,351.133869787857,201.901975128018,131.675201170446,17.5566934893928,,,,,,,,,,,,,,,,,,,
"Cherokee County, Alabama","Cherokee County","01019","01","019",26115,512,64,448,12.5,87.5,1960.55906567107,245.069883208884,1715.48918246219,64,1,12,,1,50,245.069883208884,3.82921692513881,45.9506031016657,,3.82921692513881,191.46084625694,448,169,250,29,1715.48918246219,647.137660348459,957.304231284702,111.047290829025,,,,,,,,,,,,,,,,,,,
"Chilton County, Alabama","Chilton County","01021","01","021",43836,688,84,604,12.21,87.79,1569.48626699516,191.623323295921,1377.86294369924,84,1,23,,1,59,191.623323295921,2.28123003923716,52.4682909024546,,2.28123003923716,134.592572314992,604,228,332,44,1377.86294369924,520.120448946072,757.368373026736,100.374121726435,,,,,,,,,,,,,,,,,,,
"Choctaw County, Alabama","Choctaw County","01023","01","023",13397,49,7,42,14.29,85.71,365.753526909009,52.2505038441442,313.503023064865,7,0,0,,0,7,52.2505038441442,0,0,,0,52.2505038441442,42,19,22,1,313.503023064865,141.822796148391,164.215869224453,7.4643576920206,,,,,,,,,,,,,,,,,,,
"Clarke County, Alabama","Clarke County","01025","01","025",25166,191,56,135,29.32,70.68,758.960502264961,222.522450925852,536.438051339108,56,0,6,,4,46,222.522450925852,0,23.841691170627,,15.894460780418,182.786298974807,135,62,57,16,536.438051339108,246.364142096479,226.496066120957,63.5778431216721,,,,,,,,,,,,,,,,,,,
