"Qualifying Name","Name of Area","FIPS","Nation","State","County","Total Population (2015 est.)","Total Violent and Property Crimes ","Total Violent and Property Crimes: Violent Crimes ","Total Violent and Property Crimes: Property Crimes","% Total Violent and Property Crimes: Violent Crimes ","% Total Violent and Property Crimes: Property Crimes","Total Violent and Property Crimes Rate","Total Violent and Property Crimes Rate: Violent Crimes Rate","Total Violent and Property Crimes Rate: Property Crimes Rate","Total Violent Crimes ","Total Violent Crimes: Murders and Nonnegligent Manslaughters","Total Violent Crimes: Rape Revised Definition","Total Violent Crimes: Rape Legacy Definition","Total Violent Crimes: Robberies","Total Violent Crimes: Aggravated Assaults","Total Violent Crimes Rate","Total Violent Crimes Rate: Murders and Nonnegligent Manslaughters Rate","Total Violent Crimes Rate: Rape Revised Definition Rate","Total Violent Crimes Rate: Rape Legacy Definition Rate","Total Violent Crimes Rate: Robberies Rate","Total Violent Crimes Rate: Aggravated Assaults Rate","Total Property Crimes","Total Property Crimes: Burglaries","Total Property Crimes: Larcenies","Total Property Crimes: Motor Vehicle Thefts","Total Property Crimes Rate","Total Property Crimes Rate: Burglaries Rate","Total Property Crimes Rate: Larcenies Rate","Total Property Crimes Rate: Motor Vehicle Thefts Rate","Arsons","Arsons Rate","Total Number of Hate Crime Reported:","Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:","Total Number of Hate Crimes with an Anti-Religion Bias Reported:","Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:","Total Number of Hate Crimes with an Anti-Disability Bias Reported:","Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:","% Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:","% Total Number of Hate Crimes with an Anti-Religion Bias Reported:","% Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:","% Total Number of Hate Crimes with an Anti-Disability Bias Reported:","% Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:","Total Number of Hate Crime Reported (Rate per 100,000 Population):","Anti-Race, Anti-Ethnicity, Anti-Ancestry Rate:","Anti-Religion Rate:","Anti-Sexual Orientation Rate:","Anti-Disability Rate:","Anti-Gender and Anti-Gender Rate:"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,PCT_SE_T002_002,PCT_SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,PCT_SE_T010_002,PCT_SE_T010_003,PCT_SE_T010_004,PCT_SE_T010_005,PCT_SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"Autauga County, Alabama","Autauga County","01001",,"01","001",55347,413,69,344,16.71,83.29,746.201239452906,124.668003685837,621.53323576707,69,0,13,,6,50,124.668003685837,0,23.4881746074765,,10.8406959726814,90.3391331056787,344,111,187,46,621.53323576707,200.552875494607,337.868357815238,83.1120024572244,,,,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","Baldwin County","01003",,"01","003",203709,763,115,648,15.07,84.93,374.553897962289,56.4530776745259,318.100820287763,115,0,9,,33,73,56.4530776745259,0,4.41806694844116,,16.1995788109509,35.8354319151338,648,225,390,33,318.100820287763,110.451673711029,191.449567765784,16.1995788109509,,,,,,,,,,,,,,,,,,,
"Barbour County, Alabama","Barbour County","01005",,"01","005",26489,147,32,115,21.77,78.23,554.947336630299,120.804862395711,434.142474234588,32,2,4,,0,26,120.804862395711,7.55030389973196,15.1006077994639,,0,98.1539506965155,115,59,45,11,434.142474234588,222.733965042093,169.881837743969,41.5266714485258,,,,,,,,,,,,,,,,,,,
"Bibb County, Alabama","Bibb County","01007",,"01","007",22583,48,7,41,14.58,85.42,212.549262719745,30.9967674799628,181.552495239782,7,0,2,,1,4,30.9967674799628,0,8.85621927998937,,4.42810963999469,17.7124385599787,41,20,18,3,181.552495239782,88.5621927998937,79.7059735199043,13.2843289199841,,,,,,,,,,,,,,,,,,,
"Blount County, Alabama","Blount County","01009",,"01","009",57673,1036,204,832,19.69,80.31,1796.33450661488,353.71837775042,1442.61612886446,204,5,16,,5,178,353.71837775042,8.66956808211815,27.7426178627781,,8.66956808211815,308.636623723406,832,247,503,82,1442.61612886446,428.276663256637,872.158549061086,142.180916546738,,,,,,,,,,,,,,,,,,,
"Bullock County, Alabama","Bullock County","01011",,"01","011",10696,73,21,52,28.77,71.23,682.498130142109,196.335078534031,486.163051608078,21,0,0,,8,13,196.335078534031,0,0,,74.794315632012,121.540762902019,52,34,17,1,486.163051608078,317.875841436051,158.937920718025,9.34928945400149,,,,,,,,,,,,,,,,,,,
"Butler County, Alabama","Butler County","01013",,"01","013",20154,207,41,166,19.81,80.19,1027.09139624888,203.433561575866,823.657834673018,41,1,2,,1,37,203.433561575866,4.96179418477722,9.92358836955443,,4.96179418477722,183.586384836757,166,65,90,11,823.657834673018,322.516622010519,446.561476629949,54.5797360325494,,,,,,,,,,,,,,,,,,,
"Calhoun County, Alabama","Calhoun County","01015",,"01","015",115620,429,16,413,3.73,96.27,371.043072132849,13.838436256703,357.204635876146,16,0,4,,1,11,13.838436256703,0,3.45960906417575,,0.864902266043937,9.51392492648331,413,181,225,7,357.204635876146,156.547310153953,194.603009859886,6.05431586230756,,,,,,,,,,,,,,,,,,,
"Chambers County, Alabama","Chambers County","01017",,"01","017",34123,64,3,61,4.69,95.31,187.556779884535,8.79172405708759,178.765055827448,3,0,0,,0,3,8.79172405708759,0,0,,0,8.79172405708759,61,27,34,0,178.765055827448,79.1255165137884,99.6395393136594,0,,,,,,,,,,,,,,,,,,,
