"Qualifying Name","Name of Area","FIPS","Nation","State","County","Total Population (2017 est.)","Total Violent and Property Crimes ","Total Violent and Property Crimes: Violent Crimes ","Total Violent and Property Crimes: Property Crimes","% Total Violent and Property Crimes: Violent Crimes ","% Total Violent and Property Crimes: Property Crimes","Total Violent and Property Crimes Rate","Total Violent and Property Crimes Rate: Violent Crimes Rate","Total Violent and Property Crimes Rate: Property Crimes Rate","Total Violent Crimes ","Total Violent Crimes: Murders and Nonnegligent Manslaughters","Total Violent Crimes: Rape Revised Definition","Total Violent Crimes: Rape Legacy Definition","Total Violent Crimes: Robberies","Total Violent Crimes: Aggravated Assaults","Total Violent Crimes Rate","Total Violent Crimes Rate: Murders and Nonnegligent Manslaughters Rate","Total Violent Crimes Rate: Rape Revised Definition Rate","Rape Legacy Definition Rate","Total Violent Crimes Rate: Robberies Rate","Total Violent Crimes Rate: Aggravated Assaults Rate","Total Property Crimes","Total Property Crimes: Burglaries","Total Property Crimes: Larcenies","Total Property Crimes: Motor Vehicle Thefts","Total Property Crimes Rate","Total Property Crimes Rate: Burglaries Rate","Total Property Crimes Rate: Larcenies Rate","Total Property Crimes Rate: Motor Vehicle Thefts Rate","Arsons","Arsons Rate","Total Number of Hate Crime Reported:","Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:","Total Number of Hate Crimes with an Anti-Religion Bias Reported:","Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:","Total Number of Hate Crimes with an Anti-Disability Bias Reported:","Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:","% Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:","% Total Number of Hate Crimes with an Anti-Religion Bias Reported:","% Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:","% Total Number of Hate Crimes with an Anti-Disability Bias Reported:","% Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:","Total Number of Hate Crime Reported (Rate per 100,000 Population):","Anti-Race, Anti-Ethnicity, Anti-Ancestry Rate:","Anti-Religion Rate:","Anti-Sexual Orientation Rate:","Anti-Disability Rate:","Anti-Gender and Anti-Gender Rate:"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,PCT_SE_T002_002,PCT_SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,PCT_SE_T010_002,PCT_SE_T010_003,PCT_SE_T010_004,PCT_SE_T010_005,PCT_SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"Autauga County, Alabama","Autauga County","01001",,"01","001",55049,439,55,384,12.53,87.47,797.4713,99.91099,697.5604,55,2,5,,5,43,99.9109883921597,3.63312685062399,9.08281712655997,,9.08281712655997,78.1122272884158,384,131,206,47,697.560355319806,237.969808715871,374.212065614271,85.3784809896638,,,,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","Baldwin County","01003",,"01","003",199510,900,163,737,18.11,81.89,451.1052,81.70016,369.405,163,1,9,,18,135,81.7001654052428,0.501228008621122,4.5110520775901,,9.02210415518019,67.6657811638514,737,226,442,69,369.405042353767,113.277529948374,221.542779810536,34.5847325948574,,,,,,,,,,,,,,,,,,,
"Barbour County, Alabama","Barbour County","01005",,"01","005",26614,134,34,100,25.37,74.63,503.4944,127.7523,375.7421,34,0,3,,3,28,127.752310813857,0,11.2722627188698,,11.2722627188698,105.207785376118,100,33,57,10,375.742090628992,123.994889907567,214.172991658526,37.5742090628992,,,,,,,,,,,,,,,,,,,
"Bibb County, Alabama","Bibb County","01007",,"01","007",22572,72,3,69,4.17,95.83,318.9793,13.2908,305.6885,3,0,1,,1,1,13.290802764487,0,4.43026758816232,,4.43026758816232,4.43026758816232,69,41,24,4,305.6884635832,181.640971114655,106.326422115896,17.7210703526493,,,,,,,,,,,,,,,,,,,
"Blount County, Alabama","Blount County","01009",,"01","009",57704,1125,313,812,27.82,72.18,1949.605,542.4234,1407.182,313,1,14,,5,293,542.423402190489,1.73298211562457,24.2617496187439,,8.66491057812283,507.763759877998,812,198,502,112,1407.18147788715,343.130458893664,869.957022043532,194.093996949951,,,,,,,,,,,,,,,,,,,
"Bullock County, Alabama","Bullock County","01011",,"01","011",10552,52,6,46,11.54,88.46,492.7976,56.86126,435.9363,6,0,1,,1,4,56.8612585291888,0,9.47687642153146,,9.47687642153146,37.9075056861259,46,19,21,6,435.936315390447,180.060652009098,199.014404852161,56.8612585291888,,,,,,,,,,,,,,,,,,,
"Butler County, Alabama","Butler County","01013",,"01","013",20280,223,33,190,14.8,85.2,1099.605,162.7219,936.8836,33,2,2,,5,24,162.721893491124,9.86193293885601,9.86193293885601,,24.65483234714,118.343195266272,190,69,111,10,936.883629191321,340.236686390533,547.337278106509,49.3096646942801,,,,,,,,,,,,,,,,,,,
"Calhoun County, Alabama","Calhoun County","01015",,"01","015",115883,229,18,211,7.86,92.14,197.6131,15.53291,182.0802,18,0,7,,7,4,15.5329081918832,0,6.04057540795457,,6.04057540795457,3.45175737597404,211,93,117,1,182.080201582631,80.2533589913965,100.963903247241,0.862939343993511,,,,,,,,,,,,,,,,,,,
"Chambers County, Alabama","Chambers County","01017",,"01","017",34018,92,3,89,3.26,96.74,270.4451,8.818861,261.6262,3,0,0,,1,2,8.81886060321007,0,0,,2.93962020107002,5.87924040214004,89,33,52,4,261.626197895232,97.0074666353107,152.860250455641,11.7584808042801,,,,,,,,,,,,,,,,,,,
"Cherokee County, Alabama","Cherokee County","01019",,"01","019",25897,405,48,357,11.85,88.15,1563.888,185.3497,1378.538,48,3,8,,2,35,185.349654400124,11.5843534000077,30.8916090666873,,7.72290226667182,135.150789666757,357,131,196,30,1378.53805460092,505.850098467004,756.844422133838,115.843534000077,,,,,,,,,,,,,,,,,,,
"Chilton County, Alabama","Chilton County","01021",,"01","021",43817,883,168,715,19.03,80.97,2015.2,383.4128,1631.787,168,2,15,,7,144,383.412830636511,4.56443845995846,34.2332884496885,,15.9755346098546,328.639569117009,715,268,368,79,1631.78674943515,611.634753634434,839.856676632357,180.295319168359,,,,,,,,,,,,,,,,,,,
"Choctaw County, Alabama","Choctaw County","01023",,"01","023",13287,34,13,21,38.24,61.76,255.8892,97.84,158.0492,13,1,0,,0,12,97.8399939790773,7.52615338300595,0,,0,90.3138405960713,21,4,13,4,158.049221043125,30.1046135320238,97.8399939790773,30.1046135320238,,,,,,,,,,,,,,,,,,,
"Clarke County, Alabama","Clarke County","01025",,"01","025",24847,131,40,91,30.53,69.47,527.2266,160.9852,366.2414,40,1,3,,2,34,160.985229605184,4.02463074012959,12.0738922203888,,8.04926148025919,136.837445164406,91,36,47,8,366.241397351793,144.886706644665,189.157644786091,32.1970459210367,,,,,,,,,,,,,,,,,,,
"Clay County, Alabama","Clay County","01027",,"01","027",13483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleburne County, Alabama","Cleburne County","01029",,"01","029",14991,142,6,136,4.23,95.77,947.235,40.02401,907.211,6,0,0,,1,5,40.0240144086452,0,0,,6.67066906810753,33.3533453405377,136,41,82,13,907.210993262624,273.497431792409,546.994863584818,86.7186978853979,,,,,,,,,,,,,,,,,,,
"Coffee County, Alabama","Coffee County","01031",,"01","031",50991,161,23,138,14.29,85.71,315.742,45.106,270.636,23,2,5,,2,14,45.10599909788,3.92226079112,9.8056519778,,3.92226079112,27.45582553784,138,46,77,15,270.63599458728,90.21199819576,151.00704045812,29.4169559334,,,,,,,,,,,,,,,,,,,
"Colbert County, Alabama","Colbert County","01033",,"01","033",54377,325,58,267,17.85,82.15,597.6791,106.6627,491.0164,58,0,13,,3,42,106.662743439322,0,23.9071666329514,,5.51703845375802,77.2385383526123,267,84,151,32,491.016422384464,154.477076705225,277.690935505821,58.8484101734189,,,,,,,,,,,,,,,,,,,
"Conecuh County, Alabama","Conecuh County","01035",,"01","035",12697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coosa County, Alabama","Coosa County","01037",,"01","037",10864,182,25,157,13.74,86.26,1675.258,230.1178,1445.14,25,2,2,,2,19,230.117820324006,18.4094256259205,18.4094256259205,,18.4094256259205,174.889543446244,157,54,92,11,1445.13991163476,497.054491899853,846.833578792342,101.251840942563,,,,,,,,,,,,,,,,,,,
"Covington County, Alabama","Covington County","01039",,"01","039",37729,50,4,46,8,92,132.524,10.60192,121.9221,4,0,1,,0,3,10.6019242492512,0,2.65048106231281,,0,7.95144318693843,46,13,29,4,121.922128866389,34.4562538100665,76.8639508070715,10.6019242492512,,,,,,,,,,,,,,,,,,,
"Crenshaw County, Alabama","Crenshaw County","01041",,"01","041",13896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cullman County, Alabama","Cullman County","01043",,"01","043",81316,1027,73,954,7.11,92.89,1262.974,89.77323,1173.201,73,0,34,,10,29,89.7732303605686,0,41.8121894830046,,12.297702789119,35.6633380884451,954,224,608,122,1173.20084608195,275.468542476265,747.700329578435,150.031974027252,,,,,,,,,,,,,,,,,,,
"Dale County, Alabama","Dale County","01045",,"01","045",49607,238,44,194,18.49,81.51,479.771,88.69716,391.0739,44,2,15,,4,23,88.6971596750459,4.03168907613845,30.2376680710384,,8.0633781522769,46.3644243755922,194,53,114,27,391.073840385429,106.839760517669,229.806277339892,54.4278025278691,,,,,,,,,,,,,,,,,,,
"Dallas County, Alabama","Dallas County","01047",,"01","047",41426,610,109,501,17.87,82.13,1472.505,263.1198,1209.385,109,1,8,,13,87,263.119779848404,2.41394293438903,19.3115434751122,,31.3812581470574,210.013035291846,501,187,282,32,1209.3854101289,451.407328730749,680.731907497707,77.246173900449,,,,,,,,,,,,,,,,,,,
"DeKalb County, Alabama","DeKalb County","01049",,"01","049",70937,902,147,755,16.3,83.7,1271.551,207.2261,1064.325,147,0,32,,9,106,207.226130228231,0,45.1104501177101,,12.687314095606,149.428366014915,755,248,382,125,1064.32468246472,349.605988412253,538.505998280164,176.212695772305,,,,,,,,,,,,,,,,,,,
"Elmore County, Alabama","Elmore County","01051",,"01","051",80957,817,60,757,7.34,92.66,1009.178,74.11342,935.0643,60,1,13,,9,37,74.1134182343713,1.23522363723952,16.0579072841138,,11.1170127351557,45.7032745778623,757,228,467,62,935.064293390318,281.630989290611,576.849438590857,76.5838655088504,,,,,,,,,,,,,,,,,,,
"Escambia County, Alabama","Escambia County","01053",,"01","053",37875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Etowah County, Alabama","Etowah County","01055",,"01","055",103363,630,104,526,16.51,83.49,609.5024,100.6163,508.8862,104,2,13,,3,86,100.61627468243,1.9349283592775,12.5770343353037,,2.90239253891625,83.2019194489324,526,186,276,64,508.886158489982,179.948337412807,267.020113580295,61.9177074968799,,,,,,,,,,,,,,,,,,,
"Fayette County, Alabama","Fayette County","01057",,"01","057",16783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franklin County, Alabama","Franklin County","01059",,"01","059",31573,321,30,291,9.35,90.65,1016.691,95.0179,921.6736,30,0,9,,1,20,95.0178950368986,0,28.5053685110696,,3.16726316789662,63.3452633579324,291,101,155,35,921.673581857917,319.893579957559,490.925791023976,110.854210876382,,,,,,,,,,,,,,,,,,,
"Geneva County, Alabama","Geneva County","01061",,"01","061",26765,285,58,227,20.35,79.65,1064.823,216.7009,848.1226,58,0,7,,3,48,216.700915374556,0,26.1535587521016,,11.208668036615,179.33868858584,227,73,124,30,848.122548103867,272.744255557631,463.291612180086,112.08668036615,,,,,,,,,,,,,,,,,,,
"Greene County, Alabama","Greene County","01063",,"01","063",8587,131,32,99,24.43,75.57,1525.562,372.6563,1152.906,32,0,0,,3,29,372.656340980552,0,0,,34.9365319669268,337.719809013625,99,39,44,16,1152.90555490858,454.174915570048,512.402468848259,186.328170490276,,,,,,,,,,,,,,,,,,,
"Hale County, Alabama","Hale County","01065",,"01","065",15159,56,17,39,30.36,69.64,369.4175,112.1446,257.2729,17,0,1,,0,16,112.14460056732,0,6.59674120984234,,0,105.547859357477,39,9,21,9,257.272907183851,59.370670888581,138.531565406689,59.370670888581,,,,,,,,,,,,,,,,,,,
"Henry County, Alabama","Henry County","01067",,"01","067",17187,62,14,48,22.58,77.42,360.7378,81.45692,279.2809,14,0,2,,0,12,81.4569151102578,0,11.6367021586083,,0,69.8202129516495,48,17,26,5,279.280851806598,98.9119683481701,151.277128061907,29.0917553965206,,,,,,,,,,,,,,,,,,,
"Houston County, Alabama","Houston County","01069",,"01","069",103891,683,103,580,15.08,84.92,657.4198,99.14237,558.2774,103,2,12,,10,79,99.1423703689444,1.92509457027076,11.5505674216246,,9.62547285135382,76.0412355256952,580,144,396,40,558.277425378522,138.606809059495,381.168724913611,38.5018914054153,,,,,,,,,,,,,,,,,,,
"Jackson County, Alabama","Jackson County","01071",,"01","071",52608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jefferson County, Alabama","Jefferson County","01073",,"01","073",659096,3011,700,2311,23.25,76.75,456.8379,106.2061,350.6318,700,5,34,,163,498,106.206076201342,0.758614830009589,5.1585808440652,,24.7308434583126,75.558037068955,2311,1203,974,134,350.631774430432,182.522728100307,147.778168885868,20.330877444257,,,,,,,,,,,,,,,,,,,
"Lamar County, Alabama","Lamar County","01075",,"01","075",14066,76,9,67,11.84,88.16,540.31,63.98407,476.3259,9,0,3,,0,6,63.9840750746481,0,21.3280250248827,,0,42.6560500497654,67,25,37,5,476.32589222238,177.733541874022,263.045641973553,35.5467083748045,,,,,,,,,,,,,,,,,,,
"Lauderdale County, Alabama","Lauderdale County","01077",,"01","077",92641,202,37,165,18.32,81.68,218.046,39.93912,178.1069,37,0,4,,1,32,39.9391198281538,0,4.31774268412474,,1.07943567103119,34.5419414729979,165,41,87,37,178.106885720146,44.2568625122786,93.9109033797131,39.9391198281538,,,,,,,,,,,,,,,,,,,
"Lawrence County, Alabama","Lawrence County","01079",,"01","079",33433,427,71,356,16.63,83.37,1277.181,212.365,1064.816,71,2,9,,3,57,212.365028564592,5.98211348069273,26.9195106631173,,8.97317022103909,170.490234199743,356,101,206,49,1064.81619956331,302.096730774983,616.157688511351,146.561780276972,,,,,,,,,,,,,,,,,,,
"Lee County, Alabama","Lee County","01081",,"01","081",153947,1492,420,1072,28.15,71.85,969.1647,272.8212,696.3436,420,2,20,,12,386,272.821165725867,1.29914840821841,12.9914840821841,,7.79489044931048,250.735642786154,1072,253,704,115,696.343546805069,164.342273639629,457.300239692881,74.7010334725587,,,,,,,,,,,,,,,,,,,
"Limestone County, Alabama","Limestone County","01083",,"01","083",90257,1169,154,1015,13.17,86.83,1295.19,170.6239,1124.567,154,2,28,,10,114,170.623885128023,2.21589461205225,31.0225245687315,,11.0794730602613,126.305992886978,1015,284,649,82,1124.56651561652,314.65703491142,719.057801610955,90.8516790941423,,,,,,,,,,,,,,,,,,,
"Lowndes County, Alabama","Lowndes County","01085",,"01","085",10565,304,68,236,22.37,77.63,2877.426,643.6346,2233.791,68,1,12,,11,44,643.634642688121,9.46521533364884,113.582584003786,,104.117368670137,416.469474680549,236,95,111,30,2233.79081874113,899.19545669664,1050.63890203502,283.956460009465,,,,,,,,,,,,,,,,,,,
"Macon County, Alabama","Macon County","01087",,"01","087",19684,175,23,152,13.14,86.86,889.0469,116.8462,772.2007,23,0,3,,0,20,116.846169477748,0,15.2408047144889,,0,101.60536476326,152,70,61,21,772.200772200772,355.618776671408,309.896362527941,106.685633001422,,,,,,,,,,,,,,,,,,,
"Madison County, Alabama","Madison County","01089",,"01","089",349973,2454,380,2074,15.48,84.52,701.197,108.5798,592.6171,380,6,31,,32,311,108.579804727793,1.71441796938621,8.85782617516209,,9.14356250339312,88.8639980798519,2074,549,1299,226,592.617144751167,156.869244198838,371.171490372114,64.5764101802139,,,,,,,,,,,,,,,,,,,
"Marengo County, Alabama","Marengo County","01091",,"01","091",20066,263,52,211,19.77,80.23,1310.675,259.1448,1051.53,52,2,6,,4,40,259.144822087113,9.96710854181202,29.9013256254361,,19.934217083624,199.34217083624,211,99,90,22,1051.52995116117,493.371872819695,448.519884381541,109.638193959932,,,,,,,,,,,,,,,,,,,
"Marion County, Alabama","Marion County","01093",,"01","093",30239,172,19,153,11.05,88.95,568.8019,62.83277,505.9691,19,0,2,,0,17,62.8327656337842,0,6.61397532987202,,0,56.2187903039122,153,63,75,15,505.969112735209,208.340222890969,248.024074870201,49.6048149740402,,,,,,,,,,,,,,,,,,,
"Marshall County, Alabama","Marshall County","01095",,"01","095",94534,613,102,511,16.64,83.36,648.444,107.8977,540.5463,102,1,13,,3,85,107.89768760446,1.05782046671039,13.7516660672351,,3.17346140013117,89.9147396703831,511,168,280,63,540.546258489009,177.713838407345,296.189730678909,66.6426894027546,,,,,,,,,,,,,,,,,,,
"Mobile County, Alabama","Mobile County","01097",,"01","097",414291,2511,136,2375,5.42,94.58,606.0957,32.82717,573.2686,136,5,11,,21,99,32.8271673775197,1.20688115358528,2.65513853788762,,5.06890084505818,23.8962468409886,2375,728,1310,337,573.268547953009,175.721895962017,316.202862239344,81.343789751648,,,,,,,,,,,,,,,,,,,
"Monroe County, Alabama","Monroe County","01099",,"01","099",21975,147,39,108,26.53,73.47,668.942,177.4744,491.4676,39,0,0,,4,35,177.474402730375,0,0,,18.2025028441411,159.271899886234,108,40,61,7,491.467576791809,182.025028441411,277.588168373151,31.8543799772469,,,,,,,,,,,,,,,,,,,
"Montgomery County, Alabama","Montgomery County","01101",,"01","101",227392,504,115,389,22.82,77.18,221.6437,50.57346,171.0702,115,0,2,,14,99,50.5734590486912,0,0.879538418238109,,6.15676892766676,43.5371517027864,389,122,222,45,171.070222347312,53.6518435125246,97.6287644244301,19.7896144103574,,,,,,,,,,,,,,,,,,,
