"Qualifying Name","Name of Area","FIPS","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month","Mentally Unhealthy Days per Month","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent Adults with Limited Access to Doctor Due to Costs","Health Care Costs Price-adjusted Medicare Reimbursements","Percent of Persons Without Insurance (Population Under 19 Years, 2010 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2010 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2010 est.)","Persons Without Insurance (Population Under 19 Years, 2010 est.)","Persons Without Insurance (Population 18 to 64 Years, 2010 est.)","Persons Without Insurance (Population Under 65 Years, 2010 est.)","Premature Deaths (Less than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Child Mortality Rate per 1,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Percent of Diabetic Medicare Enrollees Receiving Hba1c Test","Diabetic Medicare Enrollees (Out of Total Medicare Enrolles)","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Current Smokers (Persons 18 Years and Over)","Binge or Heavy Drinking Persons (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent Obese Persons (20 Years and Over)","Percent Physically Inactive Persons (20 Years and Over)","Persons with Limited Access to Healthy Foods","Obese Persons (20 Years and Over)","Physically Inactive Persons (20 Years and Over)","Teen Births Count (Females 15 to 19 Years)","Teen Births Rate per 1,000 Population (Females 15 to 19 Years)","Air Pollution - Particulate Matter Average Daily Pm2.5","Drinking Water Violations - Population in Violations","Driving Alone To Work - % Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_NV002_001,SE_NV002_002,SE_T002_001,SE_NV003_001,SE_T003_001,SE_NV004_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T005_001,SE_T005_002,SE_T006_001,SE_T006_002,SE_T006_003,SE_NV007_001,SE_NV007_002,SE_NV007_003,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002,SE_NV008_001,SE_NV008_002,SE_T009_001,SE_NV009_001,SE_T010_002,SE_T010_003,SE_NV010_002,SE_NV010_003,SE_T011_001,SE_T011_002,SE_NV011_001,SE_NV011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_NV012_001,SE_NV012_002,SE_NV012_003,SE_T015_001,SE_NV014_001,SE_T016_001,SE_T016_002,SE_T016_007
"Autauga County, Alabama","Autauga","01001","01","01001",5.1,4.3,374,382,23.2,383,9.4,450,20,2,14,0.0003660523,3.66052E-05,0.0002541204,17.5,9489.02,5.3,17.4,13.6,811,5771,6467,729,8376.42,35,729,59.21565,439.5,84.771573604,591,198,76,362.8,185,23.5,16.5,385,374,9.7935303961,34.1,32.2,5344,"","",608,42.505592841,13.31,0,87.321861
"Baldwin County, Alabama","Baldwin","01003","01","01003",3.3,3.8,1494,1501,12.5,1526,8.8,1325,136,32,78,0.0007421191,0.0001746163,0.0004203356,15.5,9618.34,9.1,23.1,19.1,3950,25021,28586,2325,7770.16,97,2325,58.71173,365,80.871050384,2342,558,269,306.1,179,22.6,18.7,1521,1474,5.4602606243,25.5,25.1,9952,"","",1842,48.242627416,11.8,14619,83.003682
"Barbour County, Alabama","Barbour","01005","01","01005",5,4.1,368,371,22.4,377,12.3,309,12,1,9,0.0004381161,3.65097E-05,0.0002942811,17.1,9761.77,6.4,23.6,18.5,398,3424,3782,422,9458.14,26,422,105.2589,459.3,85.831622177,487,177,86,644.6,344.5,23.5,12.7,379,370,11.420315716,37,34.2,3135,"","",469,74.432629741,12.11,2814,78.374087
"Bibb County, Alabama","Bibb","01007","01","01007",5,5.3,321,319,21,330,11.9,215,6,,5,0.0002622378,,0.0001991714,17.9,11269.81,6.1,22.4,17.7,325,2870,3166,390,11543.9,22,390,103.8912,541.8,85.478547855,303,75,18,327.3,99.5,32.8,13.2,329,321,2.1446609917,34,37.2,491,"","",245,47.786229764,13.68,0,83.180291
"Blount County, Alabama","Blount","01009","01","01009",5.2,4,334,333,21.5,340,7.6,372,12,1,11,0.0002091066,1.74255E-05,0.0001900615,15.4,10238.2,8.1,23.9,19.3,1191,8295,9351,826,8505.64,36,826,63.88302,426.2,84.466019417,515,65,39,113.4,80.8,22,5.4,341,337,1.0624676536,32,35.9,609,"","",632,49.026452564,13.04,4266,80.017822
"Bullock County, Alabama","Bullock","01011","01","01011",5,,96,,25.1,99,14.1,177,6,,2,0.0005508124,,0.0001589446,,9567.91,5.2,21.1,16.2,131,1167,1285,192,9883.66,,192,,514.8,76.111111111,180,84,32,769.7,358.4,,,,,20.151730144,39.4,30.9,2199,"","",240,85.744908896,12.48,0,79.181586
"Butler County, Alabama","Butler","01013","01","01013",3.8,3.2,332,333,19.8,345,10.4,202,7,1,6,0.0003342725,4.77532E-05,0.0002820344,17.2,10612.92,5.5,21.9,17.1,291,2717,2971,389,11005.65,13,389,63.98582,553,82.8125,384,135,34,644.5,207.4,29,9.7,346,331,2.8320291145,40.8,36.6,593,"","",309,61.787642472,12.4,0,88.088855
"Calhoun County, Alabama","Calhoun","01015","01","01015",5.1,5,1303,1312,23.5,1337,9.2,961,74,11,53,0.0006248628,9.2885E-05,0.0004367712,17.9,11551.97,5.4,20.1,16.1,1520,14592,15920,2042,11097.28,88,2042,81.33613,532.3,80.077369439,2068,671,166,565.9,175.6,26.2,12.7,1339,1293,10.043823886,33.6,33.9,11909,"","",1481,51.263412946,13.05,0,85.315586
"Chambers County, Alabama","Chambers","01017","01","01017",4.8,4,328,337,39.6,351,11.4,327,14,1,9,0.0004100401,2.92886E-05,0.0002601081,21,9133.38,5.9,23.7,18.8,472,4901,5324,643,10367.83,20,643,62.83183,531.1,86.049543677,767,227,81,663.5,281.6,23.8,7.9,351,340,8.821524906,35.2,35.8,3018,"","",510,64.410204597,13.2,0,82.652444
"Cherokee County, Alabama","Cherokee","01019","01","01019",5.1,4.3,187,191,23.1,198,9.3,159,8,,3,0.0003077278,,0.0001141249,14.8,10813.24,7,23,18.8,404,3615,3980,470,9408.68,16,470,72.66782,466.5,88.594704684,491,67,21,257.8,100.1,25.4,14,198,189,0.1326863763,30.6,35.9,34,"","",269,52.40600039,12.92,0,81.754002
"Chilton County, Alabama","Chilton","01021","01","01021",4.8,4.8,315,322,21.1,323,9.8,392,8,1,10,0.0001829742,2.28718E-05,0.0002266803,14.3,10632.88,7,25.4,20,788,6775,7481,741,10330.43,43,741,98.50411,521.7,83.928571429,448,86,29,197.1,81,20.8,10.9,323,317,1.6886043046,35.3,30.9,736,"","",558,56.690033526,13.6,0,79.979743
"Choctaw County, Alabama","Choctaw","01023","01","01023",7.3,4.6,459,453,33.3,476,10.8,122,5,,7,0.0003609848,,0.0005007153,24.1,10079.29,7.3,22,17.9,238,1802,2013,253,11985.42,,253,,515.6,84.32304038,421,60,28,432.9,241.5,19.2,7.9,476,456,11.628068422,38.3,35,1611,"","",165,48.034934498,12.96,0,79.210712
"Clarke County, Alabama","Clarke","01025","01","01025",3.5,2.4,372,372,,,12.2,265,14,1,7,0.0005431409,3.87958E-05,0.0002686521,17.5,10074.33,6.7,20.9,16.6,446,3167,3559,403,9309.47,13,403,48.82812,452.2,78.765880218,551,197,23,762.6,107.2,20,12.9,380,373,11.232512663,35.4,38,2901,"","",294,42.283906228,12.7,3450,88.034799
"Clay County, Alabama","Clay","01027","01","01027",5,4.6,176,178,23.9,183,10.9,115,5,1,2,0.0003588088,7.17618E-05,0.0001409443,22.3,10799.9,7.7,23,18.8,250,1904,2129,254,9914.91,10,254,77.8089,500.7,80.952380952,210,55,15,394.8,130,21.3,6.1,185,182,1.9289483357,34.3,37.5,268,"","",164,50.55487053,13.23,0,79.240696
"Cleburne County, Alabama","Cleburne","01029","01","01029",5.5,4.5,144,143,19,146,7.9,100,2,,,0.0001335292,,,19.2,10151.71,6.8,22,17.6,250,1978,2202,279,10738.45,,279,,531.6,78.754578755,273,33,13,220.4,104.1,18.3,9.2,145,146,0.5369355548,29.9,33.5,80,"","",197,57.890096973,13.04,0,77.78542
