"Qualifying Name","Name of Area","FIPS","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental health providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent Adults with Limited Access to Doctor Due to Costs","Health Care Costs Price-adjusted Medicare Reimbursements","Percent of Persons Without Insurance (Population Under 19 Years, 2011 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2011 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2011 est.)","Persons Without Insurance (Population Under 19 Years, 2011 est.)","Persons Without Insurance (Population 18 to 64 Years, 2011 est.)","Persons Without Insurance (Population Under 65 Years, 2011 est.)","Premature Deaths (Less than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Percent of Diabetic Medicare Enrollees Receiving Hba1c Test","Diabetic Medicare Enrollees (Out of Total Medicare Enrolles)","Chlamydia Cases (Count)","Chlamydia Cases Rate per 100,000 Population","Teen Births Count (Females 15 to 19 Years)","Teen Births Rate per 1,000 Population (Females 15 to 19 Years)","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Current Smokers (Adults Over 18)","Drinking Adults","Percent of Persons with Limited Access to Healthy Foods","Percent Obese Persons (20 Years and Over)","Percent Physically Inactive Persons (20 Years and Over)","Persons with Limited Access to Healthy Foods","Obese Persons (20 Years and Over)","Physically Inactive Persons (20 Years and Over)","Food Environment Index","Air Pollution - Particulate Matter Average Daily Pm2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Problems","Percent of Driving Alone to Work","Long Commute - Driving Alone - Workers Who Drive Alone","Long Commute - Driving Alone - % Long Commute - Drives Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_NV002_001,SE_NV002_002,SE_T002_001,SE_NV003_001,SE_T003_001,SE_NV004_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T005_001,SE_T005_002,SE_T006_001,SE_T006_002,SE_T006_003,SE_NV007_001,SE_NV007_002,SE_NV007_003,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV008_001,SE_NV008_002,SE_NV008_003,SE_T009_001,SE_NV009_001,SE_T010_002,SE_NV010_002,SE_T015_001,SE_NV014_001,SE_T011_001,SE_T011_002,SE_NV011_001,SE_NV011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_NV012_001,SE_NV012_002,SE_NV012_003,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga","01001","01","01001",5.1,3.6,396,403,22.8,407,9.3,440,21,1,15,37.99736,1.7867,26.80055,15.6,10219.22,4.734987,17.962919,13.931281795,712,6065,6682,729,8376.42,35,729,27,59.21565,439.5,7.422517,86.82170543,645,247,446.9,565,38.992408558,21.7,16.7,409,394,9.7935303961,30.5,29.4,5344,"","",7.4451888427,12.92,0,11.663286004,87.787763142,21393,41.9
"Baldwin County, Alabama","Baldwin","01003","01","01003",3.3,3.8,1622,1628,12.7,1664,8.9,1359,140,88,84,74.97978,45.58027,43.50844,14.4,9624.229,5.591491,20.9243,16.580195038,2455,23050,25214,2325,7770.16,97,2325,176,58.71173,365,14.709914,80.2134647,2436,563,301.5,1800,46.396535725,20.6,17.9,1657,1600,5.4602606243,26.6,27.6,9952,"","",7.9934606235,13.13,7845,13.486865779,83.164547419,66189,35.2
"Barbour County, Alabama","Barbour","01005","01","01005",4.8,4.3,414,416,23.4,423,12.3,304,12,1,10,44.24942,3.2684,32.68401,16.9,10809.06,6.102749,24.216186,18.910065515,373,3468,3810,422,9458.14,26,422,,105.2589,459.3,,87.63796909,453,237,873.9,446,73.779983457,25.1,13.5,425,414,11.420315716,37.3,35,3135,"","",5.403317403,12.62,11503,16.84532925,82.658509455,7431,31.5
"Bibb County, Alabama","Bibb","01007","01","01007",4.7,5.1,367,370,17.9,379,12.7,230,5,,4,21.96258,,16.11084,16.3,10809.069,5.698779,20.007816,15.978070423,294,2560,2827,390,11543.9,22,390,26,103.8912,541.8,16.575184,82.74760383,313,106,465.6,252,49.276495894,25.9,11.2,379,366,2.1446609917,34.3,37,491,"","",7.7986030363,12.87,0,9.5430107527,82.333253646,6888,49.7
"Blount County, Alabama","Blount","01009","01","01009",5.9,3.9,360,358,24.2,367,7.7,379,11,2,11,19.07173,3.42965,18.86307,17.3,10509.509,6.915913,22.684082,18.064899902,1010,7902,8807,826,8505.64,36,826,51,63.88302,426.2,13.003868,83.50877193,570,101,175.1,615,47.567483951,21.3,5.5,368,362,1.0624676536,30.4,35,609,"","",8.6480641226,12.66,2133,12.594030575,80.486222261,18606,60.3
"Bullock County, Alabama","Bullock","01011","01","01011",4.2,,101,,23,104,13.7,169,3,1,2,28.4576,8.21963,16.43926,16.7,8940.6,4.022015,20.762474,15.741833924,95,1111,1200,192,9883.66,,192,,,514.8,,81.37254902,204,148,1403.9,226,85.122410546,37.8,,103,,20.151730144,42.1,32.5,2199,"","",3.7021473087,12.75,2167,14.075067024,84.135694687,3373,44.6
"Butler County, Alabama","Butler","01013","01","01013",3.9,3.5,358,358,19.9,372,10.4,200,7,4,6,33.89831,19.37984,29.06977,18.5,11331.15,4.639586,21.043648,16.378403646,233,2589,2803,389,11005.65,13,389,11,63.98582,553,7.525381,77.60532151,451,132,639.2,294,61.467698097,30.5,10.9,373,356,2.8320291145,38.3,36.9,593,"","",6.352247144,12.82,6697,16.521197007,88.706715635,6763,32.1
"Calhoun County, Alabama","Calhoun","01015","01","01015",5.2,5.1,1418,1426,22.7,1458,9,931,79,76,55,67.06453,63.25163,45.77421,18.4,11246.061,5.282134,21.338487,16.94823886,1465,15346,16663,2042,11097.28,88,2042,91,81.33613,532.3,11.182837,79.72789116,2205,781,663,1464,50.711836226,24.4,11.6,1456,1404,10.043823886,33.2,33.3,11909,"","",6.6419930381,12.89,0,14.454976303,84.446668698,38810,26.5
"Chambers County, Alabama","Chambers","01017","01","01017",5,4.3,359,371,38.5,385,11.7,328,13,,8,38.30402,,23.17363,22.5,9436.364,4.734177,22.800562,17.926642712,374,4709,5039,643,10367.83,20,643,23,62.83183,531.1,9.437988,83.86683739,781,260,766.1,497,62.649691163,24.1,,385,,8.821524906,35.4,38.7,3018,"","",6.0709749485,12.97,0,17.141812865,84.377952756,10716,33.2
