"Qualifying Name","Name of Area","FIPS","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month","Mentally Unhealthy Days per Month","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent Adults with Limited Access to Doctor Due to Costs","Health Care Costs Price-adjusted Medicare Reimbursements","Percent of Persons Without Insurance (Population Under 19 Years, 2012 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2012 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2012 est.)","Persons Without Insurance (Population Under 19 Years, 2012 est.)","Persons Without Insurance (Population 18 to 64 Years, 2012 est.)","Persons Without Insurance (Population Under 65 Years, 2012 est.)","Premature Deaths (Less Than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 1,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Percent of Diabetic Medicare Enrollees Receiving Hba1c Test","Diabetics","Diabetic Medicare Enrollees (Out of Total Medicare Enrolles)","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Teen Births Count (Female 15 to 19 Years)","Teen Births Rate per 1,000 Population (Females 15 to 19 Years)","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Current Smokers (Adults Over 18)","Drinking Adults","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Persons with Limited Access to Healthy Foods","Persons with Access to Exercise Opportunities","Obese Persons (20 Years and Over)","Physically Inactive Persons (20 Years and Over)","Food Environment Index","Air Pollution Particulate Matter Average Daily PM2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Problems","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_NV002_001,SE_NV002_002,SE_T002_001,SE_NV003_001,SE_T003_001,SE_NV004_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T005_001,SE_T005_002,SE_T006_001,SE_T006_002,SE_T006_003,SE_NV007_001,SE_NV007_002,SE_NV007_003,SE_T007_001,SE_T007_002,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV008_002,SE_NV008_003,SE_NV008_004,SE_T014_001,SE_NV013_001,SE_T009_001,SE_T009_002,SE_NV009_001,SE_NV009_002,SE_T010_002,SE_T010_003,SE_NV010_002,SE_NV010_003,SE_T015_001,SE_NV014_001,SE_T011_001,SE_T011_002,SE_NV011_001,SE_NV011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_NV012_001,SE_NV012_002,SE_NV012_003,SE_NV012_004,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga","01001","01","01001",5.1,3.6,396,403,22.8,407,9.0850790936,425,18,8,16,32.42425,14.48069,28.96137,15.6,9939.29,3.710341,16.853899,12.836707378,559,5656,6138,754,8405.21,24,754,31,41.16214,431.9,8.233797,38,8,12.1,84.615384615,4748,689,282,81,508,181.1,531,36.499862524,21.7,16.7,409,394,9.7935303961,73.683824742,31.3,27.9,5344.4274725,40210,"","",7.2,12.92,0,12.25,88.51888668,21372,42
"Baldwin County, Alabama","Baldwin","01003","01","01003",3.3,3.8,1622,1628,12.7,1664,8.6701816052,1332,144,157,91,75.47565,80.29048,46.53779,14.4,9501.9,5.356782,19.904934,15.790291866,2388,22278,24378,2460,7456.89,95,2460,192,56.16018,360.8,15.292347,96,6.4,11.5,81.060299474,16021,2471,682,288,357.5,188.1,1750,44.532661526,20.6,17.9,1657,1600,5.4602606243,73.61808356,25,25.2,9952.144027,134180,"","",7.6,13.13,2134.5,14.09087697,83.694910629,67474,34.9
"Barbour County, Alabama","Barbour","01005","01","01005",4.8,4.3,414,416,23.4,423,11.877875366,284,12,1,10,44.11603,3.69331,36.93308,16.9,10413.95,4.546211,22.83955,17.528430629,273,3227,3468,414,8900.51,20,414,,84.08661,443.7,,34,13.5,14.8,85.714285714,3085,504,195,90,716.9,388.1,425,72.873799726,25.1,13.5,425,414,11.420315716,44.145390975,38.4,32.3,3135.6760862,12121,"","",5,12.62,19075.5,18.561001043,82.200152788,7532,33.1
"Bibb County, Alabama","Bibb","01007","01","01007",4.7,5.1,367,370,17.9,379,12.787436904,228,6,,4,26.5522,,17.7683,16.3,10825.24,4.205701,19.283681,15.104645814,211,2439,2627,407,10729.22,22,407,30,107.95956,539.7,18.932103,25,13.9,12.7,82.874617737,2181,327,84,21,371.7,106.7,254,50.850850851,25.9,11.2,379,366,2.1446609917,39.437049967,37.3,33.2,491.44906624,9037,"","",7.6,12.87,0,9.5501730104,83.212237094,6528,47.5
"Blount County, Alabama","Blount","01009","01","01009",5.9,3.9,360,358,24.2,367,7.6907549455,381,17,3,11,29.39854,5.18385,19.00746,17.3,10280.81,5.877066,23.345169,18.295760083,850,8087,8846,861,8668.52,28,861,73,49.82206,430.5,18.298216,31,6.3,13.2,86.12244898,5578,735,93,44,160.8,92.8,610,47.239216294,21.3,5.5,368,362,1.0624676536,25.508530756,30.9,29.8,609.02770839,14622,"","",8.5,12.66,0,11.834884276,83.330380868,18816,58.4
"Bullock County, Alabama","Bullock","01011","01","01011",4.2,,101,,23,104,13.632514818,161,4,3,2,38.1898,28.19814,18.79876,16.7,9975.59,4.114335,23.206107,17.551900782,95,1216,1302,180,10743.52,12,180,,127.07826,498.5,,,,17.6,77.114427861,1426,201,101,38,964.3,409.1,212,84.596967279,37.8,,103,,20.151730144,23.437786329,43.2,32.8,2199.3598279,2558,"","",3.8,12.75,2167.5,13.430851064,82.531771742,3312,46.8
"Butler County, Alabama","Butler","01013","01","01013",3.9,3.5,358,358,19.9,372,10.803757829,207,7,5,5,34.47087,24.67308,24.67308,18.5,11377.53,3.694479,21.600133,16.601761428,178,2608,2771,375,10357.46,10,375,13,50.74854,528.1,8.93907,,,16.1,86.061946903,2462,452,150,38,738.7,219.8,287,63.341425734,30.5,10.9,373,356,2.8320291145,50.069222323,38.4,37.3,593.22513862,10488,"","",6,12.82,13395,17.799752781,88.205604994,6641,32.9
"Calhoun County, Alabama","Calhoun","01015","01","01015",5.2,5.1,1418,1426,22.7,1458,8.6887991331,882,75,107,61,63.9408,91.65981,52.25466,18.4,11404.65,3.687423,19.651097,15.292822681,1015,13968,14866,2081,10538.61,84,2081,99,77.94232,527.2,12.05992,87,8.3,13.2,80.55433348,11563,2273,803,184,684.6,185.4,1414,49.328449328,24.4,11.6,1456,1404,10.043823886,56.768039672,31.5,33.2,11909.162858,67311,"","",6.4,12.89,0,14.512792597,85.632235284,38317,28
"Chambers County, Alabama","Chambers","01017","01","01017",5,4.3,359,371,38.5,385,11.880832735,331,14,,8,41.09911,,23.41783,22.5,8948.13,3.858025,20.479759,16.042569965,300,4209,4477,686,11863.82,18,686,24,58.84084,567.2,9.960283,25,8.7,15.7,85.681293303,4023,866,297,92,871.9,318.2,470,59.728046766,24.1,,385,,8.821524906,62.823323104,39.7,35.3,3018.2847466,21495,"","",5.7,12.97,0,17.146017699,86.543347094,10901,34.3
