"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month","Mentally Unhealthy Days per Month","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100 000 Population","Mental Health Providers (MHP) Rate per 100 000 Population","Dentists Rate per 100 000 Population","Health Care Costs Price-adjusted Medicare Reimbursements","Percent Persons Without Insurance (Population Under 19 Years)","Percent of Persons Without Insurance (Population Under 65 Years)","Persons Without Insurance (Population Under 19 Years)","Persons Without Insurance (Population Under 65 Years)","Premature Deaths (Less Than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100 000 Population (Less than 75 Years)","Child Mortality","Premature Age-adjusted Mortality","Drug Poisoning Mortality","Child Mortality Rate per 100 000 Population","Premature Age-adjusted mortality rate per 100 000 Population","Drug Poisoning Mortality Rate per 100 000 Population","Infant Mortality","Percent of Diabetics","Diabetic Medicare Enrollees Receiving Hba1c Test","Chlamydia Cases","HIV Prevalence","Chlamydia Cases Rate per 100 000 Population","HIV Prevalence Rate per 100,000 Population","Teen Births (Females 15-19 Years)","Teen Births Rate per 1 000 Population (Females 15 to 19 Years)","Persons with Limited Access to Healthy Foods","Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily PM2.5","Presence of Drinking Water Violations","Percentage Of Households with Severe Housing Problems","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_NV002_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T005_001,SE_T006_001,SE_T006_002,SE_NV005_001,SE_NV005_002,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_T014_001,SE_T009_001,SE_T009_002,SE_T010_001,SE_T010_002,SE_NV008_001,SE_NV008_002,SE_T015_001,SE_NV010_001,SE_T012_001,SE_T012_002,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.2240305575,4.1818400188,17.878814127,8.789277082,400,23,7,17,41.51999,12.64748,30.71531,9858.62,3.4698795181,14.214767895,504,4780,830,9158.2,31,851,16,55.301841016,468.4,9.6392510302,32,13,83.966244726,220,93,398.2,205,462,32.41877763,5344.4274725,48.902691511,6.9,10.8,"No",14.723467862,87.483416252,21101,42.6
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",3.736320366,3.9660892942,16.361972647,8.6306400839,1316,148,170,97,73.95895,83.45238,47.61694,9412.78,4.9109963614,20.459041665,2254,23889,2573,7393.9,84,2740,103,47.728357463,361.3,17.18499733,96,10.4,83.212237094,667,278,341.1,169,1528,38.019407813,9952.144027,41.838802458,7.5,9.6,"Yes",14.702872348,84.652797501,71535,37.7
"Barbour County, Alabama","Barbour County","01005","00","01","005",4.8060566405,4.7680781875,25.02040126,11.669057867,244,11,2,10,40.91196,7.5503,37.75152,10117.09,4.4966785897,19.880759605,264,2701,413,8573.1,15,425,,65.780818313,439.5,,27,18.4,89.142857143,166,91,613.1,399.9,316,59.021292492,3135.6760862,67.36814065,4.9,10.1,"Yes",16.195652174,83.766540643,7090,35.5
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.3543896681,4.3680624999,19.540231096,11.968235961,211,9,,4,39.98934,,17.71244,10817.25,3.9544513458,17.172523962,191,2150,407,11766.1,20,396,10,104.7833604,521,14.792680582,21,14.8,81.981981982,100,23,444.2,120,224,47.497879559,491.44906624,63.44950849,7.3,10.5,"No",13.681241185,83.186057928,6778,46.5
"Blount County, Alabama","Blount County","01009","00","01","009",4.4515731419,4.4838318637,18.947608063,7.3489723895,354,11,4,11,19.05785,6.93565,19.07305,10035.61,5.6534352225,20.814611659,799,7134,906,9332.8,24,916,36,43.877289846,445.4,20.777541786,31,14.1,87.659574468,72,46,124.4,95.5,546,43.2304038,609.02770839,53.078289955,8.3,11.3,"No",11.534817622,84.866712235,18624,59.8
"Bullock County, Alabama","Bullock County","01011","00","01","011",4.9558586482,4.5660296529,28.257945086,13.429951691,139,3,1,2,27.87068,9.34929,18.69858,9275.93,4.4863731656,22.785754242,107,1222,180,10857.7,10,197,,111.3833816,546.6,,,19.6,85.849056604,100,32,939.9,361.8,174,77.782744747,2199.3598279,63.857801185,3.8,9.8,"No",18.048128342,74.948024948,2884,47.1
"Butler County, Alabama","Butler County","01013","00","01","013",5.2420308431,4.9779910075,26.62129034,11.141602634,203,9,5,5,44.34371,24.80897,24.80897,10407.71,3.7793047696,18.660045451,187,2217,401,12427.4,19,394,,100.3220867,560.2,,,17.7,80.705009276,163,42,804.3,250.4,239,55.802007938,593.22513862,71.168912567,6,9.4,"Yes",16.454159077,84.491219008,6543,33
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.9084565308,4.6655153388,22.003204574,8.8653212521,861,77,103,64,66.42741,89.08493,55.35375,10672.9,3.4197087195,18.172084458,904,12729,2133,10716.9,73,2231,46,70.322133169,550.4,13.208067258,79,14.9,81.270096463,845,194,723.9,198,1247,44.629755556,11909.162858,60.729525925,6.1,11.6,"No",14.879964598,85.261069295,39533,29.9
"Chambers County, Alabama","Chambers County","01017","00","01","017",4.7586970535,4.7323618611,24.489616793,11.429582449,323,14,,9,41.08463,,26.37517,8622.91,3.5020483679,18.946188341,265,3887,700,11410.4,13,693,,44.315663883,532.7,,26,16.4,82.207207207,282,106,825.5,366.8,456,59.92903141,3018.2847466,72.65541551,5.6,10.4,"No",19.241982507,85.087524928,11520,34.5
