"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month","Mentally Unhealthy Days per Month","Adults That Report Fair or Poor Health","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Other Primary Care Providers (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100 000 Population","Dentists Rate per 100 000 Population","Health Care Costs Price-adjusted Medicare Reimbursements","Percent Persons Without Insurance (Population Under 19 Years)","Percent Persons Without Insurance (Population Under 65 Years)","Persons Without Insurance (Population Under 19 Years)","Persons Without Insurance (Population Under 65 Years)","Years of Potential Life Lost (YPLL) Rate per 100 000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted mortality","Drug Poisoning Mortality","Child Mortality Rate","Premature Age-adjusted mortality rate per 100 000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1 000 Live Births","Diabetic Medicare Enrollees Receiving Hba1c Test","Chlamydia Cases","HIV Prevalence","Chlamydia Cases Rate per 100 000 Population","HIV Prevalence Rate per 100,000 Population","Persons with Limited Access to Healthy Foods","Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily PM2.5","Presence of Drinking Water Violations","Percentage Of Households with Severe Housing Problems","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T005_001,SE_T006_001,SE_T006_002,SE_NV005_001,SE_NV005_002,SE_T007_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_T014_001,SE_NV009_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_NV008_001,SE_NV008_002,SE_T012_001,SE_T012_002,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.2005779826,4.3067392835,18.411124355,25,7,18,28.87253,12.63173,32.48159,10674.34,2.5953130465,12.193091968,371,4102,9409.2947663,31,827,17,56.186903014,449.6,10.231225701,34,7.7185017026,711,189,103,341.2,225.5,6543.6768239,48.475387657,7.1,10.8,"No",15.217926619,86.750061723,21082,40.8
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",4.0987477691,4.2496487805,18.060457821,148,186,103,43.6319,89.18169,49.38556,9537.12,3.2734385075,14.71986088,1523,17437,7467.5966638,85,2753,113,47.688777428,351.3,18.452504397,85,5.5454070981,2615,678,282,338.8,163.9,9886.831137,45.795480263,7.9,9.6,"No",14.310156036,84.646043332,73058,40.1
"Barbour County, Alabama","Barbour County","01005","00","01","005",5.0674383044,4.634994147,25.773415631,11,2,9,26.95937,7.70268,34.66205,9790.62,3.6341505825,17.401550859,209,2289,8929.4749816,15,418,,66.595631327,433.6,,,,525,150,97,557.9,436,2948.790251,66.302610549,5.5,10.1,"No",15.254237288,82.784925424,7271,35.1
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.3633772783,4.3157100192,19.996911856,12,2,5,75.07839,8.83275,22.08188,10755.78,3.1412523403,15.070568535,151,1890,11741.938889,22,408,15,116.31595643,529.1,22.146105238,25,14.775413712,333,68,37,302.1,191.9,596.16282881,61.318482842,7.6,10.5,"No",12.358757062,85.072463768,7044,48.8
"Blount County, Alabama","Blount County","01009","00","01","009",4.5127526482,4.7015992588,21.095323159,12,5,11,12.13087,8.66491,19.0628,10326.33,4.489531621,17.699115044,624,6040,9359.1223433,30,996,37,55.375073833,480.2,21.375421731,25,5.2943667937,705,66,46,114.3,95.4,1650.9594817,54.520166898,8.5,11.3,"No",11.058036781,86.107728337,18384,60.2
"Bullock County, Alabama","Bullock County","01011","00","01","011",5.2266193898,4.7919184772,29.407713883,3,1,2,77.20517,9.65065,19.30129,10314.38,3.213028169,19.150943396,73,1015,12343.052871,12,209,,133.92857143,581.5,,,,212,79,61,733.9,691.3,2154.7892998,67.176079734,4.5,9.8,"No",18.024032043,76.446578631,3184,37.7
"Butler County, Alabama","Butler County","01013","00","01","013",5.1174326174,5.1345730819,26.502613197,7,5,6,55.0055,25.0025,30.003,10176.13,2.750410509,16.039671683,134,1876,12779.304852,19,422,,100.23211648,602.7,,,,539,168,45,827.7,268.4,612.93476079,72.631578947,6.5,9.4,"No",14.839491217,85.086464699,6544,31.7
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.2904480661,4.4765721664,19.584701424,75,108,69,50.60596,94.23179,60.20365,10901.19,2.8918406072,14.514502981,762,10078,11527.781204,79,2286,54,77.28958156,564.3,15.600308539,82,8.7597478902,2488,681,206,587.5,211.2,10883.209969,58.868341154,6.8,11.6,"No",15.292171996,84.985916108,38921,29.4
"Chambers County, Alabama","Chambers County","01017","00","01","017",5.0370446678,4.9326462099,25.219835535,16,1,8,14.7741,2.95482,23.63857,9256.66,2.9494194582,16.963848339,221,3463,10350.047581,17,688,,58.560110231,528.8,,20,7.299270073,888,270,106,792.3,366.9,3533.9162159,71.167247387,6.1,10.4,"Yes",18.417266187,88.03986711,12190,32.5
