"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Percent of Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily Pm2.5","Presence Of Drinking Water Violations","Percentage Of Households with Severe Housing Problems","Percentage Of Households with High Housing Costs","Percentage Of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent Of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent Of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_002,SE_NV005_001,SE_NV005_002,SE_T007_002,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV006_001,SE_NV006_002,SE_NV006_003,SE_T014_001,SE_NV009_001,SE_T009_001,SE_NV007_001,SE_T010_001,SE_T010_002,SE_NV008_001,SE_NV008_002,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.2005779826,4.3067392835,18.411124355,8.4757194245,23,9,18,41.50426,16.21505,32.4301,2.4761904762,10.961103842,351,3686,8824.0571232,29,815,16,53.279441484,438.7,9.6230761366,34,7.6992753623,14.2,"",189,103,341.2,225.5,19.124658497,16.878015122,11.991125,68.677502703,37.5,31.1,47.931664339,7.2,11.7,"No",14.954645747,13.205222961,2.4515812699,0.6374111302,85.965056526,20911,38.3
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",4.0987477691,4.2496487805,18.060457821,8.3386827577,152,194,106,72.87966,91.23916,49.85232,3.2380267084,13.570310753,1530,16389,7224.6321603,85,2827,102,47.000016588,348.4,16.322611618,91,5.8513374486,11.3,"",678,282,338.8,163.9,16.795485149,16.71496869,5.424426597,71.971031191,31,23.8,45.079131159,8,10.3,"Yes",13.831725255,12.569278139,1.0728021051,0.6072464746,84.719423478,74415,40.5
"Barbour County, Alabama","Barbour County","01005","00","01","005",5.0674383044,4.634994147,25.773415631,10.952623535,10,2,9,38.51338,7.91452,35.61535,2.9014236799,16.542239686,161,2105,9586.165037,17,451,,77.080027205,469.8,,,,18,"",150,97,557.9,436,21.540877567,12.698715423,10.739666573,53.625669228,44.3,28.2,73.769808173,5.6,11.5,"No",15.455531453,13.67426348,2.0065075922,0.8134490239,83.404353334,7242,33.8
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.3633772783,4.3157100192,19.996911856,11.105002749,13,2,6,57.41289,8.82301,26.46903,2.6194467728,12.297318992,125,1532,11783.543675,21,445,15,111.74968072,563.7,22.093263028,25,14.792899408,14.9,"",68,37,302.1,191.9,19.916404243,15.925150788,2.6016270077,16.251363736,37.8,34.9,65.329687025,7.6,11.2,"No",10.960854093,10.808080808,0.1992882562,0.2846975089,86.365902293,6930,48.6
"Blount County, Alabama","Blount County","01009","00","01","009",4.5127526482,4.7015992588,21.095323159,7.9268292683,13,6,12,22.52877,10.34251,20.68502,3.4301361966,15.564604172,476,5275,10908.101822,41,1050,43,76.032935242,501.8,24.799584751,29,6.1846875666,14.3,"",66,46,114.3,95.4,19.652158178,15.378721894,2.8801498232,22.949303932,34.4,28.5,53.311793215,8.5,11.7,"No",10.401153015,7.9458794588,1.7247177516,0.9128032669,86.792275082,18426,59.7
"Bullock County, Alabama","Bullock County","01011","00","01","011",5.2266193898,4.7919184772,29.407713883,13.73200443,3,1,2,28.95194,9.70026,19.40052,2.7890238417,17.671809257,62,882,12066.910263,12,205,,135.47076089,568.2,,,,20,"",79,61,733.9,691.3,23.478291175,12.896317308,19.743350741,26.69048928,39.4,29.2,68.970189702,4.2,11.2,"No",20.759837178,16.591549296,2.3880597015,2.0081411126,73.076923077,3135,47.3
"Butler County, Alabama","Butler County","01013","00","01","013",5.1174326174,5.1345730819,26.502613197,12.411764706,6,7,6,30.003,35.30895,30.26482,2.4958402662,13.982828106,120,1596,14018.606262,23,393,,122.77143162,577.1,,,,17.9,"",168,45,827.7,268.4,22.197655522,13.042811266,2.9261219306,48.57974889,40.2,34.7,78.569147237,6.5,10.6,"No",13.780260708,11.406844106,1.6759776536,1.6759776536,83.562901745,6370,31.8
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.2904480661,4.4765721664,19.584701424,9.0023300148,74,113,74,64.56623,98.49383,64.50038,2.3045235504,14.431316351,593,9869,12217.759984,78,2333,66,77.013457608,572.2,19.132708525,73,7.8317777063,16.2,"",681,206,587.5,211.2,20.462231748,15.431677015,9.178566583,44.713760416,37.1,30.2,59.029288703,6.9,11.8,"No",14.538810763,12.74784362,1.4727051268,1.0076403499,85.022359524,39356,30.6
"Chambers County, Alabama","Chambers County","01017","00","01","017",5.0370446678,4.9326462099,25.219835535,12.446043165,17,2,7,50.23195,5.93243,20.7635,2.485320224,13.522138014,182,2712,11273.17098,25,691,,86.706204696,536.3,,22,8.064516129,17,"",270,106,792.3,366.9,22.040369624,13.528450886,10.328558281,61.864679234,40.3,32.4,55.918007494,6.3,11.4,"No",16.068190062,12.631578947,3.4385201306,1.1244105912,87.107646935,12405,30.9
"Cherokee County, Alabama","Cherokee County","01019","00","01","019",4.2779170785,4.6812529447,19.291593453,8.2324455206,9,5,4,34.98542,19.33712,15.4697,2.9816946594,14.939208706,158,2224,11294.41054,,575,11,,536.9,14.20436203,,,13.5,"",44,20,169,90.1,19.14485261,15.232730666,0.2211124003,33.429527877,36.3,31.8,63.839840836,8.5,11.4,"No",15.469858156,12.998655312,2.1719858156,0.7978723404,84.975850375,8269,43.4
"Chilton County, Alabama","Chilton County","01021","00","01","021",4.7362771144,4.6255724065,21.465307173,8.6144265698,8,18,12,18.20623,40.84689,27.23126,3.8842134468,18.339325327,420,4795,10831.917358,27,850,16,63.692764974,541.5,12.125713333,26,6.7938332898,14.7,"",135,36,307.3,99.5,19.673275015,15.064312648,1.4605309614,47.242398552,35.3,31.2,63.705518308,8.1,11.2,"No",13.058207576,10.282872241,3.0489682784,0.8623344626,83.176118716,14461,49.2
"Choctaw County, Alabama","Choctaw County","01023","00","01","023",4.7381487719,4.7562769582,24.111284914,11.004273504,5,,6,38.48226,,46.34994,3.2093362509,14.114033916,88,1057,12047.187077,,273,,,536.1,,,,16.2,"",50,25,375.3,220.3,19.062059567,13.025240355,7.2904190524,27.563316257,41.3,32.6,64.290755116,6.4,10.1,"No",13.3632287,11.092745638,1.399103139,1.2556053812,81.796690307,3460,45.9
"Clarke County, Alabama","Clarke County","01025","00","01","025",5.0341224717,4.8038714851,27.70052858,12.954429083,14,16,7,57.39587,66.43691,29.06615,2.7313566936,14.592094197,152,2082,9688.3738435,15,412,,69.130795465,456.8,,,,18.5,"",158,34,633.4,162,20.933322707,13.353695283,11.154712303,23.864824062,39.6,32.3,57.698132256,5.4,10.4,"No",12.681912682,12.236917769,0.9771309771,0.7276507277,83.664317745,6530,34.3
"Clay County, Alabama","Clay County","01027","00","01","027",4.472032396,4.5860482369,20.587634774,9.5528455285,5,2,2,37.059,14.96222,14.96222,3.7800687285,16.869476111,110,1317,9666.0412363,,271,,,509.7,,,,14.7,"",39,22,287.8,190.9,19.13940444,14.819133688,2.3268798802,63.975021533,37.7,30.6,60.07231405,7.9,10.6,"Yes",14.298892989,10.55191768,1.2730627306,3.1365313653,87.523139578,4728,39.4
"Cleburne County, Alabama","Cleburne County","01029","00","01","029",4.3509719859,4.6239163437,18.30098389,8.8815789474,4,6,,26.80247,40.26846,,3.4337179848,15.290697674,122,1315,11985.555305,12,334,,86.724000867,586.8,,,,13.1,"",38,14,252,111.3,19.710511775,15.970047221,2.0717157696,41.48410366,34.5,28.7,56.579954093,8,11,"No",11.601731602,8.3406496927,3.9826839827,0.1731601732,81.824830865,4475,49.5
