"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Premature Deaths (Less than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Percent of Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily Pm2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Housing Problems","Percentage of Households with High Housing Costs","Percentage of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T007_001,SE_T007_002,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T014_001,SE_NV009_001,SE_T009_001,SE_NV007_001,SE_T010_002,SE_T010_003,SE_NV008_002,SE_NV008_003,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",4.7438888672,4.6540313965,20.882987328,8.6195286195,25,13,18,45.0418,23.38087,32.37352,2.6691540504,11.14898915,372,3761,791,8128.5911903,30,791,18,55.922156358,417.54755051,10.809447457,35,7.9401088929,11.1,"",226,101,407.2,219.1,18.08155718,15.026031257,11.991125,69.130124059,33.3,34.7,43.408673083,7.2,11.7,"No",14.663461538,12.826718296,1.2019230769,1.3461538462,86.523661372,24428,39.6
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",4.2245192015,4.3040564688,17.50913436,8.3450031827,155,210,108,72.89727,96.32055,49.53629,3.538763291,14.348524769,1714,17590,2967,7354.1225298,87,2967,87,47.381749857,353.34311052,13.610486645,87,5.5467006694,10.7,"",691,292,325,166.5,17.489032597,17.958310103,5.424426597,73.713548953,31,26.5,48.486564722,8,10.3,"No",13.566200931,12.277388019,1.2707917498,0.4790419162,84.282432728,91420,41.7
"Barbour County, Alabama","Barbour County","01005","00","01","005",5.4302788594,5.1855944125,29.591801708,11.474558671,8,2,9,31.65809,8.03826,36.17218,2.9135338346,16.08583414,155,1994,472,10253.573403,16,472,,74.225273706,497.35006209,,,,17.6,"",181,92,716.3,420.6,21.999984528,12.844015554,10.739666573,53.166769858,41.7,23.5,63.292302039,5.6,11.5,"No",14.583333333,13.445945946,1.6885964912,0.6030701754,83.368470368,8538,32.2
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.5914824378,4.5516988486,19.439724157,10.308710033,11,5,5,48.52656,22.32143,22.32143,2.6178010471,13,125,1612,471,11977.539484,16,471,19,85.8000858,589.04111681,28.060433312,21,12.244897959,14.5,"",77,38,339.7,196.8,19.114199885,15.570042367,2.6016270077,16.251363736,37.6,33.5,61.562115621,7.8,11.2,"No",10.496453901,9.9782766112,0.2553191489,0.7092198582,84.910646866,7946,49.8
"Blount County, Alabama","Blount County","01009","00","01","009",4.8608076303,4.8914546677,21.745292814,7.6045627376,13,9,11,22.40877,15.56017,19.01798,4.0772837051,17.082341882,574,5815,1085,11335.071134,45,1085,42,83.798882682,515.61182276,24.199542513,32,6.8419927304,17,"",136,48,234.4,99.8,19.20867197,14.230593827,2.8801498232,15.634485887,33.8,30.3,52.90628707,8.4,11.7,"No",10.548011639,7.851445663,1.8913676043,1.0911736178,86.17836202,21148,59.4
"Bullock County, Alabama","Bullock County","01011","00","01","011",5.3591593432,4.8913510426,30.999101851,15.688487585,3,2,2,29.10079,19.72776,19.72776,2.2854477612,15.240963855,49,759,203,11679.558981,13,203,,149.61445506,562.24752995,,,,23.7,"",89,56,863.3,632.9,22.894664011,12.094101229,19.743350741,2.5013743815,37.2,24.6,75.786593707,4.3,11.2,"No",18.143459916,15.210449927,0.1125175809,3.094233474,79.060913706,3940,46
"Butler County, Alabama","Butler County","01013","00","01","013",5.4008061965,5.340750195,27.910673184,12.680288462,5,10,6,25.22068,50.81301,30.4878,2.6594594595,14.505765338,123,1648,423,14359.939103,18,423,,98.19431564,609.16970743,,,,19.2,"",151,52,761.7,311,21.765334963,11.85740343,2.9261219306,48.57974889,43.3,39.5,79.15713819,6.6,10.6,"Yes",13.159609121,11.692307692,1.6938110749,0.3908794788,83.833183164,7769,32.3
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",4.8803767403,4.8160722877,23.107733221,9.1613736678,73,132,67,63.62876,115.50881,58.62947,2.4385508484,15.388687124,628,10466,2373,12078.616145,66,2373,63,65.813090822,574.56384163,18.334419817,74,8.0260303688,17.5,"",751,220,654.6,226.3,20.612560375,13.842230147,9.178566583,47.721215801,38.5,31.7,58.837593215,6.9,11.8,"No",13.734191258,11.824932493,1.5420457067,0.8431329044,84.809213736,47147,31.2
"Chambers County, Alabama","Chambers County","01017","00","01","017",4.9411783568,4.8735807661,23.995473603,12.213740458,14,2,6,41.52701,5.94972,17.84917,2.5387676685,15.226316844,185,3041,654,11112.536614,25,654,10,87.568741462,511.62651724,9.8842553696,22,8.1061164333,19.9,"",206,111,611,387.7,19.392927053,12.745734617,10.328558281,61.864679234,40.1,30.1,71.121351767,6.4,11.4,"No",15.9566787,12.377079482,4.036101083,0.9386281588,85.252848013,14396,31.8
